question_id,exam_id,question,delivery_mode,question_type,requirement,source_pdf,source_sha256,tags,algorithms,peripherals,events,timing,data_shapes,abi,risks,keywords,pattern_ids,simulator_status,hardware_status,physical_status
E2025-01-29-A1-Q2,E2025-01-29-A1,Q2,C + ASM call,c-board-integration,Run Timer1 freely with reset at 0xFFFF and no IRQ; INT0 collects bytes and XORs/displays them; KEY1 calls the assembly transform; Timer0 blinks rows with a 0.5-second full period.,Exams/24-25/2025_01_29/20250129_ARM1.pdf,81b1160be1d5b7aa4520486427166188d838607a3f22089c7b04734b3dad4575,abi:c-calls-assembly;algorithm:byte-capture;algorithm:row-display;algorithm:xor;data:byte-array;data:packed-8x8-bit-matrix;event:int0;event:key1;event:timer0-interrupt;integration:c-calls-assembly;lang:assembly;lang:c;peripheral:buttons;peripheral:led;peripheral:timer0;peripheral:timer1;risk:debounce;risk:irq-shared-state;risk:timer-ownership;timing:free-running;timing:periodic-500-ms-full-cycle;type:c-board-integration,byte-capture;xor;row-display,led;timer0;timer1;buttons,int0;key1;timer0-interrupt,free-running;periodic-500-ms-full-cycle,byte-array;packed-8x8-bit-matrix,c-calls-assembly,debounce;irq-shared-state;timer-ownership,Timer1 0xffff free counter Timer0 blink rows XOR INT0 KEY1,PAT-GPIO-EVENT-001;PAT-MEM-BYTE-ARRAY-001;PAT-STATE-DEBOUNCE-001;PAT-STATE-IRQ-HANDOFF-001;PAT-TIMER-FREE-RUNNING-001;PAT-TIMER-OWNERSHIP-001;PAT-TIMER-PERIODIC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-01-29-A2-Q1,E2025-01-29-A2,Q1,ASM,assembly-algorithm,Multiply two packed binary matrices using bit-level dot products and store the packed result with the required orientation.,Exams/24-25/2025_01_29/20250129_ARM2.pdf,af077d82dca1acfbbac322ee1774a4d6c4ec796d42721c073e0b0fc20543e50b,abi:callee-saved-registers;algorithm:binary-matrix-multiplication;algorithm:bit-dot-product;data:byte-array;data:packed-8x8-bit-matrix;lang:assembly;risk:bit-order;risk:bounds;risk:stack-balance;type:assembly-algorithm,binary-matrix-multiplication;bit-dot-product,,,,packed-8x8-bit-matrix;byte-array,callee-saved-registers,bit-order;bounds;stack-balance,packed binary matrix multiplication GF2 bit dot product,PAT-AAPCS-STACK-SAFETY-001;PAT-ALG-BITFIELD-001;PAT-ALG-PACKED-MATMUL-001;PAT-FLOW-EARLY-BREAK-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-MATRIX-ROW-MAJOR-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-01-29-A2-Q2,E2025-01-29-A2,Q2,C + ASM call,c-board-integration,Use the specified free-running timer and interrupts to fill matrices A and B; invoke multiplication on KEY1; display result rows on LEDs every 0.5 seconds.,Exams/24-25/2025_01_29/20250129_ARM2.pdf,af077d82dca1acfbbac322ee1774a4d6c4ec796d42721c073e0b0fc20543e50b,abi:c-calls-assembly;algorithm:matrix-capture;algorithm:row-display;data:output-matrix;data:two-packed-matrices;event:int0;event:key1;event:timer0-interrupt;integration:c-calls-assembly;lang:assembly;lang:c;peripheral:buttons;peripheral:led;peripheral:timer0;peripheral:timer1;risk:debounce;risk:irq-shared-state;risk:timer-ownership;timing:free-running;timing:periodic-500-ms;type:c-board-integration,matrix-capture;row-display,led;timer0;timer1;buttons,int0;key1;timer0-interrupt,free-running;periodic-500-ms,two-packed-matrices;output-matrix,c-calls-assembly,debounce;irq-shared-state;timer-ownership,fill matrices A B free timer multiply display rows,PAT-GPIO-EVENT-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-STATE-DEBOUNCE-001;PAT-STATE-IRQ-HANDOFF-001;PAT-TIMER-FREE-RUNNING-001;PAT-TIMER-OWNERSHIP-001;PAT-TIMER-PERIODIC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-01-29-A3-Q1,E2025-01-29-A3,Q1,ASM,assembly-algorithm,Transpose a packed binary matrix by exchanging row/column bit coordinates without corrupting unrelated bits.,Exams/24-25/2025_01_29/20250129_ARM3.pdf,761ce33d98721985812e9dac30fedd846893bfc2ccbc7b16513615d24cde2a6e,abi:callee-saved-registers;abi:two-pointer-arguments;algorithm:packed-matrix-transpose;data:byte-array;data:packed-8x8-bit-matrix;data:read-only-input;data:writable-output;lang:assembly;risk:bounds;risk:msb-first-bit-order;risk:stack-balance;type:assembly-algorithm,packed-matrix-transpose,,,,packed-8x8-bit-matrix;byte-array;read-only-input;writable-output,two-pointer-arguments;callee-saved-registers,msb-first-bit-order;bounds;stack-balance,transpose AT bit matrix 8 bytes DCB READONLY READWRITE,PAT-AAPCS-STACK-SAFETY-001;PAT-ALG-BITFIELD-001;PAT-DATA-ASM-OBJECTS-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-MEM-PACKED-TRANSPOSE-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-01-29-A3-Q2,E2025-01-29-A3,Q2,C + ASM call,c-board-integration,"Use Timer2 and KEY1/KEY2 to fill arrays, then use INT0 to verify the requested algebraic property and display pass/fail on LEDs.",Exams/24-25/2025_01_29/20250129_ARM3.pdf,761ce33d98721985812e9dac30fedd846893bfc2ccbc7b16513615d24cde2a6e,abi:c-calls-assembly-three-times;algorithm:array-capture;algorithm:xor-equivalence;data:five-byte-arrays;data:packed-8x8-bit-matrices;event:int0;event:key1;event:key2;integration:c-calls-assembly;lang:assembly;lang:c;peripheral:buttons;peripheral:led;peripheral:timer2;risk:bounds;risk:debounce;risk:irq-shared-state;risk:timer-ownership;timing:free-running-reset-at-0xffff-no-irq;type:c-board-integration,array-capture;xor-equivalence,led;timer2;buttons,int0;key1;key2,free-running-reset-at-0xffff-no-irq,five-byte-arrays;packed-8x8-bit-matrices,c-calls-assembly-three-times,debounce;bounds;irq-shared-state;timer-ownership,A XOR B transpose equivalence Timer2 arrays LEDs 4 5,PAT-GPIO-EVENT-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-PACKED-TRANSPOSE-001;PAT-STATE-DEBOUNCE-001;PAT-STATE-IRQ-HANDOFF-001;PAT-TIMER-FREE-RUNNING-001;PAT-TIMER-OWNERSHIP-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-02-12-A1-Q1,E2025-02-12-A1,Q1,ASM,assembly-algorithm,"Generate sine values with the stated Maclaurin/fixed-point recurrence, maintaining scale, signs, loop limits and array storage.",Exams/24-25/2025_02_12/20250212_ARM1.pdf,04bdc71658fd0d480ff738ea259fb791ea48991a1e45b2f4d8ec082de65a597f,abi:callee-saved-registers;abi:non-leaf;algorithm:fixed-point-recurrence;algorithm:sine-maclaurin;data:sample-table;data:signed-word-array;lang:assembly;risk:bounds;risk:fixed-point-scale;risk:overflow;risk:signedness;risk:stack-balance;type:assembly-algorithm,sine-maclaurin;fixed-point-recurrence,,,,signed-word-array;sample-table,non-leaf;callee-saved-registers,fixed-point-scale;signedness;overflow;bounds;stack-balance,sine Maclaurin fixed point recurrence 45 samples,PAT-AAPCS-NONLEAF-001;PAT-AAPCS-STACK-SAFETY-001;PAT-ALG-FIXED-POINT-001;PAT-ALG-RECURRENCE-001;PAT-MEM-WORD-ARRAY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-02-12-A1-Q2,E2025-02-12-A1,Q2,C + ASM call,c-board-integration,"On INT0, call the assembly generator for sineValues[45]; configure Timer0 every 1263 cycles and stream the samples to the DAC; no debouncing is required.",Exams/24-25/2025_02_12/20250212_ARM1.pdf,04bdc71658fd0d480ff738ea259fb791ea48991a1e45b2f4d8ec082de65a597f,abi:c-calls-assembly;algorithm:sample-streaming;algorithm:waveform-generation;data:sine-table-45;event:int0;event:timer0-interrupt;integration:c-calls-assembly;lang:assembly;lang:c;peripheral:buttons;peripheral:dac;peripheral:speaker;peripheral:timer0;risk:irq-shared-state;risk:sample-bounds;risk:timer-ownership;timing:periodic-1263-cycles;type:c-board-integration,waveform-generation;sample-streaming,dac;timer0;buttons;speaker,int0;timer0-interrupt,periodic-1263-cycles,sine-table-45,c-calls-assembly,irq-shared-state;timer-ownership;sample-bounds,INT0 no debounce Timer0 1263 cycles DAC sineValues 45,PAT-DAC-STREAM-001;PAT-GPIO-EVENT-001;PAT-STATE-IRQ-HANDOFF-001;PAT-TIMER-OWNERSHIP-001;PAT-TIMER-PERIODIC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-02-12-A2-Q1,E2025-02-12-A2,Q1,ASM,assembly-algorithm,"Generate cosine values with the required fixed-point recurrence, scale and array bounds.",Exams/24-25/2025_02_12/20250212_ARM2.pdf,6260e7e253a7ddd3c5e186b84f08ef3366e0f4d062501001dadd1abb872a8b10,abi:callee-saved-registers;abi:non-leaf;algorithm:cosine-maclaurin;algorithm:fixed-point-recurrence;data:sample-table;data:signed-word-array;lang:assembly;risk:bounds;risk:fixed-point-scale;risk:overflow;risk:signedness;risk:stack-balance;type:assembly-algorithm,cosine-maclaurin;fixed-point-recurrence,,,,signed-word-array;sample-table,non-leaf;callee-saved-registers,fixed-point-scale;signedness;overflow;bounds;stack-balance,cosine Maclaurin fixed point recurrence samples,PAT-AAPCS-NONLEAF-001;PAT-AAPCS-STACK-SAFETY-001;PAT-ALG-FIXED-POINT-001;PAT-ALG-RECURRENCE-001;PAT-MEM-WORD-ARRAY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-02-12-A2-Q2,E2025-02-12-A2,Q2,C + ASM call,c-board-integration,"Use KEY1 to generate the waveform, configure Timer1 every 1592 cycles, and stream the table through the DAC according to the stated trigger behavior.",Exams/24-25/2025_02_12/20250212_ARM2.pdf,6260e7e253a7ddd3c5e186b84f08ef3366e0f4d062501001dadd1abb872a8b10,abi:c-calls-assembly;algorithm:sample-streaming;algorithm:waveform-generation;data:cosine-table;event:key1;event:timer1-interrupt;integration:c-calls-assembly;lang:assembly;lang:c;peripheral:buttons;peripheral:dac;peripheral:speaker;peripheral:timer1;risk:debounce;risk:irq-shared-state;risk:sample-bounds;risk:timer-ownership;timing:periodic-1592-cycles;type:c-board-integration,waveform-generation;sample-streaming,dac;timer1;buttons;speaker,key1;timer1-interrupt,periodic-1592-cycles,cosine-table,c-calls-assembly,debounce;irq-shared-state;timer-ownership;sample-bounds,KEY1 Timer1 1592 cycles DAC cosine waveform,PAT-DAC-STREAM-001;PAT-GPIO-EVENT-001;PAT-STATE-DEBOUNCE-001;PAT-STATE-IRQ-HANDOFF-001;PAT-TIMER-OWNERSHIP-001;PAT-TIMER-PERIODIC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-07-01-A1-Q1,E2025-07-01-A1,Q1,ASM,assembly-algorithm,Implement the requested linear congruential generator with five parameters and correct unsigned wraparound/modulo behavior.,Exams/24-25/2025_07_01/ARM1.pdf,62e6a6f5101df35128b299c565c82f3338a8474dfb83b30e87efb2916a401843,abi:callee-saved-registers;abi:five-arguments;abi:stacked-argument;algorithm:linear-congruential-generator;algorithm:modulo;data:unsigned-word-state;lang:assembly;risk:divide-by-zero;risk:stack-balance;risk:stacked-offset;risk:unsigned-wrap;type:assembly-algorithm,linear-congruential-generator;modulo,,,,unsigned-word-state,five-arguments;stacked-argument;callee-saved-registers,unsigned-wrap;divide-by-zero;stacked-offset;stack-balance,LCG five parameters modulo unsigned wrap,PAT-AAPCS-STACK-SAFETY-001;PAT-AAPCS-STACKED-ARGS-001;PAT-ALG-LCG-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-07-01-A1-Q2,E2025-07-01-A1,Q2,ASM startup,assembly-startup,Call the LCG repeatedly from Reset_Handler and maintain the required sequence/state without violating startup or call conventions.,Exams/24-25/2025_07_01/ARM1.pdf,62e6a6f5101df35128b299c565c82f3338a8474dfb83b30e87efb2916a401843,abi:five-arguments;abi:non-leaf;abi:reset-handler;algorithm:lcg-sequence;algorithm:recurrence;data:persistent-state;data:word-array;lang:assembly;risk:non-returning-loop;risk:stack-alignment;risk:stacked-arguments;type:assembly-startup,lcg-sequence;recurrence,,,,word-array;persistent-state,reset-handler;non-leaf;five-arguments,stack-alignment;stacked-arguments;non-returning-loop,Reset_Handler call LCG sequence startup persistent,PAT-AAPCS-NONLEAF-001;PAT-AAPCS-STACK-SAFETY-001;PAT-AAPCS-STACKED-ARGS-001;PAT-ALG-LCG-001;PAT-ALG-RECURRENCE-001;PAT-MEM-WORD-ARRAY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-07-01-A1-Q3,E2025-07-01-A1,Q3,C,c-board-state-machine,Use Timer0 for a three-second LED sequence and accept only the joystick's first movement for the rhythm-game state transition.,Exams/24-25/2025_07_01/ARM1.pdf,62e6a6f5101df35128b299c565c82f3338a8474dfb83b30e87efb2916a401843,abi:callback;algorithm:first-input-only;algorithm:rhythm-game;event:joystick-first-movement;event:timer0-interrupt;lang:c;peripheral:joystick;peripheral:led;peripheral:timer0;risk:debounce;risk:first-event-latching;risk:irq-shared-state;risk:timer-ownership;timing:periodic-3-seconds;type:c-board-state-machine,rhythm-game;first-input-only,led;timer0;joystick,joystick-first-movement;timer0-interrupt,periodic-3-seconds,,callback,debounce;first-event-latching;irq-shared-state;timer-ownership,rhythm game first joystick movement Timer0 three seconds,PAT-GPIO-EVENT-001;PAT-GPIO-JOYSTICK-001;PAT-STATE-DEBOUNCE-001;PAT-STATE-EVENT-LOOP-001;PAT-STATE-IRQ-HANDOFF-001;PAT-TIMER-OWNERSHIP-001;PAT-TIMER-PERIODIC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-07-01-A2-Q1,E2025-07-01-A2,Q1,ASM,assembly-algorithm,"Implement the variant LCG with its shift operation and five-argument interface, preserving the specified arithmetic order.",Exams/24-25/2025_07_01/ARM2.pdf,61b5bc6866d95a1ce17fd0356cb661d342641945037f71924afc4050cfba1e81,abi:callee-saved-registers;abi:five-arguments;abi:stacked-argument;algorithm:linear-congruential-generator;algorithm:modulo;algorithm:shift;data:unsigned-word-state;lang:assembly;risk:shift-range;risk:stack-balance;risk:stacked-offset;risk:unsigned-wrap;type:assembly-algorithm,linear-congruential-generator;modulo;shift,,,,unsigned-word-state,five-arguments;stacked-argument;callee-saved-registers,unsigned-wrap;shift-range;stacked-offset;stack-balance,LCG shift five parameters modulo unsigned,PAT-AAPCS-STACK-SAFETY-001;PAT-AAPCS-STACKED-ARGS-001;PAT-ALG-BITFIELD-001;PAT-ALG-LCG-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-07-01-A2-Q2,E2025-07-01-A2,Q2,ASM startup,assembly-startup,Drive the variant generator from Reset_Handler with correct argument construction and persistent loop state.,Exams/24-25/2025_07_01/ARM2.pdf,61b5bc6866d95a1ce17fd0356cb661d342641945037f71924afc4050cfba1e81,abi:five-arguments;abi:non-leaf;abi:reset-handler;algorithm:lcg-sequence;algorithm:recurrence;algorithm:shift;data:persistent-state;data:word-array;lang:assembly;risk:non-returning-loop;risk:stack-alignment;risk:stacked-arguments;type:assembly-startup,lcg-sequence;recurrence;shift,,,,word-array;persistent-state,reset-handler;non-leaf;five-arguments,stack-alignment;stacked-arguments;non-returning-loop,Reset_Handler LCG shifted sequence startup,PAT-AAPCS-NONLEAF-001;PAT-AAPCS-STACK-SAFETY-001;PAT-AAPCS-STACKED-ARGS-001;PAT-ALG-LCG-001;PAT-ALG-RECURRENCE-001;PAT-MEM-WORD-ARRAY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-07-01-A2-Q3,E2025-07-01-A2,Q3,C,c-board-state-machine,Use Timer1 for a 2.5-second LED sequence and process only the joystick's first movement in the game logic.,Exams/24-25/2025_07_01/ARM2.pdf,61b5bc6866d95a1ce17fd0356cb661d342641945037f71924afc4050cfba1e81,abi:callback;algorithm:first-input-only;algorithm:rhythm-game;event:joystick-first-movement;event:timer1-interrupt;lang:c;peripheral:joystick;peripheral:led;peripheral:timer1;risk:debounce;risk:first-event-latching;risk:irq-shared-state;risk:timer-ownership;timing:periodic-2.5-seconds;type:c-board-state-machine,rhythm-game;first-input-only,led;timer1;joystick,joystick-first-movement;timer1-interrupt,periodic-2.5-seconds,,callback,debounce;first-event-latching;irq-shared-state;timer-ownership,rhythm game first joystick movement Timer1 2.5 seconds,PAT-GPIO-EVENT-001;PAT-GPIO-JOYSTICK-001;PAT-STATE-DEBOUNCE-001;PAT-STATE-EVENT-LOOP-001;PAT-STATE-IRQ-HANDOFF-001;PAT-TIMER-OWNERSHIP-001;PAT-TIMER-PERIODIC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2026-02-03-A1-Q1,E2026-02-03-A1,Q1,ASM,assembly-algorithm,"Generate the Look-and-Say sequence in the required digit representation, grouping equal runs and writing count/value pairs without overrunning the output buffer.",Exams/Exam 03.02.2026/20260203_ARM_1.pdf,4d1f2a9349357a96f0785b83bf347553e73bcd551ccac6d4086dbe5a545488f4,abi:callee-saved-registers;abi:non-leaf;algorithm:bounded-output;algorithm:look-and-say;algorithm:run-grouping;data:digit-byte-array;data:output-buffer;lang:assembly;risk:bounds;risk:capacity;risk:final-run;risk:stack-balance;type:assembly-algorithm,look-and-say;run-grouping;bounded-output,,,,digit-byte-array;output-buffer,non-leaf;callee-saved-registers,capacity;final-run;bounds;stack-balance,Look-and-Say count value pairs output capacity digits,PAT-AAPCS-NONLEAF-001;PAT-AAPCS-STACK-SAFETY-001;PAT-ALG-LOOK-AND-SAY-001;PAT-ALG-RUN-LENGTH-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-BYTE-ARRAY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2026-02-03-A1-Q2,E2026-02-03-A1,Q2,C + ASM call,c-board-integration,"Read the potentiometer through ADC, show the top eight bits on LEDs, and on INT0 call the assembly routine with physical debouncing enabled.",Exams/Exam 03.02.2026/20260203_ARM_1.pdf,4d1f2a9349357a96f0785b83bf347553e73bcd551ccac6d4086dbe5a545488f4,abi:c-calls-assembly;algorithm:adc-display;algorithm:sequence-generation;data:adc-12-bit;data:byte-array;event:adc-complete;event:int0;integration:c-calls-assembly;lang:assembly;lang:c;peripheral:adc;peripheral:buttons;peripheral:led;peripheral:potentiometer;risk:adc-channel;risk:bounds;risk:debounce;risk:irq-shared-state;type:c-board-integration,adc-display;sequence-generation,adc;potentiometer;led;buttons,int0;adc-complete,,adc-12-bit;byte-array,c-calls-assembly,debounce;irq-shared-state;adc-channel;bounds,potentiometer ADC channel 5 high eight bits INT0 look say,PAT-ADC-SAMPLE-001;PAT-GPIO-EVENT-001;PAT-MEM-BYTE-ARRAY-001;PAT-STATE-DEBOUNCE-001;PAT-STATE-EVENT-LOOP-001;PAT-STATE-IRQ-HANDOFF-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2026-02-03-A2-Q1,E2026-02-03-A2,Q1,ASM,assembly-algorithm,"Run-length encode the digit array into the required count/value format, including final-run handling and output length.",Exams/Exam 03.02.2026/20260203_ARM_2.pdf,ecc909cda345d5f4bbd6c6978f0417a8921c5647290b8feaadba497438a44829,abi:callee-saved-registers;algorithm:run-grouping;algorithm:run-length-encoding;data:count-value-output;data:digit-byte-array;lang:assembly;risk:bounds;risk:capacity;risk:final-run;risk:stack-balance;type:assembly-algorithm,run-length-encoding;run-grouping,,,,digit-byte-array;count-value-output,callee-saved-registers,capacity;final-run;bounds;stack-balance,RLE run length encoding final run output length,PAT-AAPCS-STACK-SAFETY-001;PAT-ALG-RUN-LENGTH-001;PAT-FLOW-EARLY-BREAK-001;PAT-MEM-BYTE-ARRAY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2026-02-03-A2-Q2,E2026-02-03-A2,Q2,C + ASM call,c-board-integration,"Read the potentiometer with ADC, show its high eight bits on LEDs, and invoke the encoder from KEY1 with the required debounce behavior.",Exams/Exam 03.02.2026/20260203_ARM_2.pdf,ecc909cda345d5f4bbd6c6978f0417a8921c5647290b8feaadba497438a44829,abi:c-calls-assembly;algorithm:adc-display;algorithm:run-length-encoding;data:adc-12-bit;data:byte-array;event:adc-complete;event:key1;integration:c-calls-assembly;lang:assembly;lang:c;peripheral:adc;peripheral:buttons;peripheral:led;peripheral:potentiometer;risk:adc-channel;risk:bounds;risk:debounce;risk:irq-shared-state;type:c-board-integration,adc-display;run-length-encoding,adc;potentiometer;led;buttons,key1;adc-complete,,adc-12-bit;byte-array,c-calls-assembly,debounce;irq-shared-state;adc-channel;bounds,potentiometer ADC channel 5 high eight bits KEY1 RLE,PAT-ADC-SAMPLE-001;PAT-GPIO-EVENT-001;PAT-MEM-BYTE-ARRAY-001;PAT-STATE-DEBOUNCE-001;PAT-STATE-IRQ-HANDOFF-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2026-02-03-A3-Q1,E2026-02-03-A3,Q1,ASM,assembly-algorithm,"Fill a word array with the Recaman sequence, selecting subtraction only when positive and not already present, otherwise addition.",Exams/Exam 03.02.2026/20260203_ARM_3.pdf,3b7d7638803bf8e8c0329eca34265667b4df7ad4c19a500b45b0e1566074d46b,abi:callee-saved-registers;abi:non-leaf;algorithm:duplicate-search;algorithm:indirect-recurrence;algorithm:recaman;data:word-array;lang:assembly;risk:bounds;risk:duplicate-detection;risk:positive-subtraction;risk:stack-balance;type:assembly-algorithm,recaman;indirect-recurrence;duplicate-search,,,,word-array,non-leaf;callee-saved-registers,duplicate-detection;positive-subtraction;bounds;stack-balance,Recaman subtract if positive unused otherwise add,PAT-AAPCS-NONLEAF-001;PAT-AAPCS-STACK-SAFETY-001;PAT-ALG-INDIRECT-RECURRENCE-001;PAT-ALG-LINEAR-SEARCH-001;PAT-ALG-RECURRENCE-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-WORD-ARRAY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2026-02-03-A3-Q2,E2026-02-03-A3,Q2,C + ASM call,c-board-integration,"Read/display ADC data, use KEY2 to generate the sequence, and use a two-second timer to display sequence values on LEDs.",Exams/Exam 03.02.2026/20260203_ARM_3.pdf,3b7d7638803bf8e8c0329eca34265667b4df7ad4c19a500b45b0e1566074d46b,abi:c-calls-assembly;algorithm:adc-display;algorithm:sequence-display;data:adc-12-bit;data:word-array;event:adc-complete;event:key2;event:timer-interrupt;integration:c-calls-assembly;lang:assembly;lang:c;peripheral:adc;peripheral:buttons;peripheral:led;peripheral:potentiometer;peripheral:timer;risk:adc-channel;risk:bounds;risk:debounce;risk:irq-shared-state;risk:timer-ownership;timing:periodic-2-seconds;type:c-board-integration,adc-display;sequence-display,adc;potentiometer;led;timer;buttons,key2;timer-interrupt;adc-complete,periodic-2-seconds,adc-12-bit;word-array,c-calls-assembly,debounce;irq-shared-state;adc-channel;timer-ownership;bounds,ADC potentiometer KEY2 Recaman two second timer LEDs,PAT-ADC-SAMPLE-001;PAT-GPIO-EVENT-001;PAT-MEM-WORD-ARRAY-001;PAT-STATE-DEBOUNCE-001;PAT-STATE-EVENT-LOOP-001;PAT-STATE-IRQ-HANDOFF-001;PAT-TIMER-OWNERSHIP-001;PAT-TIMER-PERIODIC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2026-02-18-A1-Q1,E2026-02-18-A1,Q1,ASM,assembly-algorithm,Generate the iterative Hofstadter Q sequence in a word array and return or track the required maximum while handling early indices safely.,Exams/Exam 18.02.2026/20260218_ARM_1.pdf,0ef4f9295c4d1d486e29a037ebdd0f159208e131d2fa26ce3723b223b0887fa2,abi:callee-saved-registers;abi:two-arguments;algorithm:hofstadter-q;algorithm:indirect-recurrence;algorithm:maximum-reduction;data:word-array-1000;lang:assembly;risk:bounds;risk:indirect-index;risk:one-based-vs-zero-based;risk:stack-balance;type:assembly-algorithm,hofstadter-q;indirect-recurrence;maximum-reduction,,,,word-array-1000,two-arguments;callee-saved-registers,one-based-vs-zero-based;indirect-index;bounds;stack-balance,Hofstadter Q iterative previous indexed terms maximum,PAT-AAPCS-STACK-SAFETY-001;PAT-ALG-INDIRECT-RECURRENCE-001;PAT-ALG-RECURRENCE-001;PAT-ALG-REDUCTION-001;PAT-MEM-WORD-ARRAY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2026-02-18-A1-Q2,E2026-02-18-A1,Q2,C + ASM call,c-board-integration,"Coordinate three timers for A/B/C states, stream SinTable[45] through the DAC, use a 50 ms scheduler tick, compute frequency/duration values, and track whether each timer is running.",Exams/Exam 18.02.2026/20260218_ARM_1.pdf,0ef4f9295c4d1d486e29a037ebdd0f159208e131d2fa26ce3723b223b0887fa2,abi:c-calls-assembly;algorithm:duration-scaling;algorithm:frequency-scaling;algorithm:sample-streaming;data:sine-table-45;data:uint16-samples;data:word-array-1000;event:three-timer-interrupts;integration:c-calls-assembly;lang:assembly;lang:c;peripheral:dac;peripheral:speaker;peripheral:timer-a;peripheral:timer-b;peripheral:timer-c;risk:irq-shared-state;risk:overflow-order;risk:running-state;risk:sample-wrap;risk:three-timer-ownership;timing:one-shot-duration;timing:periodic-sample-rate;timing:scheduler-50-ms;type:c-board-integration,frequency-scaling;duration-scaling;sample-streaming,dac;speaker;timer-a;timer-b;timer-c,three-timer-interrupts,scheduler-50-ms;periodic-sample-rate;one-shot-duration,word-array-1000;sine-table-45;uint16-samples,c-calls-assembly,overflow-order;irq-shared-state;three-timer-ownership;sample-wrap;running-state,three timers Hofstadter music SinTable DAC speaker threshold frequency duration,PAT-ALG-SATURATING-ARITHMETIC-001;PAT-DAC-STREAM-001;PAT-MEM-WORD-ARRAY-001;PAT-STATE-EVENT-LOOP-001;PAT-STATE-IRQ-HANDOFF-001;PAT-TIMER-OWNERSHIP-001;PAT-TIMER-PERIODIC-001;PAT-TIMER-VECTOR-OWNERSHIP-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
