"pattern_id","priority","tag","title","question_count","exam_ids","question_ids","c_source","arm_source","c_status","arm_status"
"PAT-AAPCS-FOUR-ARGS-001","ESTABLISHED_ATLAS","abi:four-register-args","Four-register argument contract","4","E2024-07-09;E2024-09-16;E2026-06-25-B1;E2026-06-25-B2","E2024-07-09-Q1;E2024-09-16-Q1;E2026-06-25-B1-Q1;E2026-06-25-B2-Q1","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-AAPCS-STACKED-ARGS-001","ESTABLISHED_ATLAS","abi:stacked-args","Fifth and later arguments","5","E2024-09-16;E2025-07-01-A1;E2025-07-01-A2","E2024-09-16-Q1;E2025-07-01-A1-Q1;E2025-07-01-A1-Q2;E2025-07-01-A2-Q1;E2025-07-01-A2-Q2","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-AAPCS-NONLEAF-001","ESTABLISHED_ATLAS","abi:nonleaf","Non-leaf prologue and epilogue","14","E2023-02-07;E2023-02-24;E2023-07-04;E2023-09-18;E2024-07-09;E2024-09-16;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1;E2025-07-01-A2;E2026-02-03-A1;E2026-02-03-A3","E2023-02-07-Q1;E2023-02-24-Q1;E2023-02-24-Q2;E2023-07-04-Q1;E2023-09-18-Q1;E2024-07-09-Q1;E2024-07-09-Q2;E2024-09-16-Q1;E2025-02-12-A1-Q1;E2025-02-12-A2-Q1;E2025-07-01-A1-Q2;E2025-07-01-A2-Q2;E2026-02-03-A1-Q1;E2026-02-03-A3-Q1","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-CPU-FLAGS-001","ESTABLISHED_ATLAS","cpu:flags","APSR flag contract","3","E2023-05-17;E2023-09-18","E2023-05-17-Q1;E2023-05-17-Q2;E2023-09-18-Q1","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-CPU-SVC-001","ESTABLISHED_ATLAS","cpu:svc","SVC immediate decoding","1","E2023-02-24","E2023-02-24-Q2","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-CPU-EXCEPTION-FRAME-001","ESTABLISHED_ATLAS","cpu:exception-frame","MSP/PSP exception-frame selection","1","E2023-02-24","E2023-02-24-Q2","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-TIMER-OWNERSHIP-001","ESTABLISHED_ATLAS","board:timer","Timer setup and ownership","16","E2023-02-07;E2023-07-04;E2024-02-12;E2024-02-28;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2","E2023-02-07-Q2;E2023-07-04-Q2;E2024-02-12-Q2;E2024-02-28-Q2;E2025-01-29-A1-Q2;E2025-01-29-A2-Q2;E2025-01-29-A3-Q2;E2025-02-12-A1-Q2;E2025-02-12-A2-Q2;E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-02-03-A3-Q2;E2026-02-18-A1-Q2;E2026-02-18-A2-Q2;E2026-06-25-B1-Q2;E2026-06-25-B2-Q2","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-GPIO-EVENT-001","ESTABLISHED_ATLAS","board:gpio","GPIO event capture","18","E2023-02-07;E2023-07-04;E2023-09-18;E2024-02-12;E2024-02-28;E2024-09-16;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-02-03-A1;E2026-02-03-A2;E2026-02-03-A3;E2026-06-25-B1;E2026-06-25-B2","E2023-02-07-Q2;E2023-07-04-Q2;E2023-09-18-Q2;E2024-02-12-Q2;E2024-02-28-Q2;E2024-09-16-Q2;E2025-01-29-A1-Q2;E2025-01-29-A2-Q2;E2025-01-29-A3-Q2;E2025-02-12-A1-Q2;E2025-02-12-A2-Q2;E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-02-03-A1-Q2;E2026-02-03-A2-Q2;E2026-02-03-A3-Q2;E2026-06-25-B1-Q2;E2026-06-25-B2-Q2","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-GPIO-JOYSTICK-001","ESTABLISHED_ATLAS","board:joystick","Joystick event state machine","4","E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-06-25-B1;E2026-06-25-B2","E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-06-25-B1-Q2;E2026-06-25-B2-Q2","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-ADC-SAMPLE-001","ESTABLISHED_ATLAS","board:adc","ADC sample conversion","3","E2026-02-03-A1;E2026-02-03-A2;E2026-02-03-A3","E2026-02-03-A1-Q2;E2026-02-03-A2-Q2;E2026-02-03-A3-Q2","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-DAC-STREAM-001","ESTABLISHED_ATLAS","board:dac","DAC table streaming","4","E2025-02-12-A1;E2025-02-12-A2;E2026-02-18-A1;E2026-02-18-A2","E2025-02-12-A1-Q2;E2025-02-12-A2-Q2;E2026-02-18-A1-Q2;E2026-02-18-A2-Q2","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-STATE-EVENT-LOOP-001","ESTABLISHED_ATLAS","state:event-loop","ISR-to-foreground event loop","12","E2023-07-04;E2023-09-18;E2024-02-28;E2024-09-16;E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-02-03-A1;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2","E2023-07-04-Q2;E2023-09-18-Q2;E2024-02-28-Q2;E2024-09-16-Q2;E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-02-03-A1-Q2;E2026-02-03-A3-Q2;E2026-02-18-A1-Q2;E2026-02-18-A2-Q2;E2026-06-25-B1-Q2;E2026-06-25-B2-Q2","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-STATE-DEBOUNCE-001","ESTABLISHED_ATLAS","state:debounce","Deterministic debounce","15","E2023-02-07;E2023-09-18;E2024-02-12;E2024-09-16;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-02-12-A2;E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-02-03-A1;E2026-02-03-A2;E2026-02-03-A3;E2026-06-25-B1;E2026-06-25-B2","E2023-02-07-Q2;E2023-09-18-Q2;E2024-02-12-Q2;E2024-09-16-Q2;E2025-01-29-A1-Q2;E2025-01-29-A2-Q2;E2025-01-29-A3-Q2;E2025-02-12-A2-Q2;E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-02-03-A1-Q2;E2026-02-03-A2-Q2;E2026-02-03-A3-Q2;E2026-06-25-B1-Q2;E2026-06-25-B2-Q2","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-TIMER-PERIODIC-001","ESTABLISHED_ATLAS","timing:periodic","Periodic match scheduling","12","E2023-07-04;E2024-02-28;E2024-07-09;E2025-01-29-A1;E2025-01-29-A2;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2","E2023-07-04-Q2;E2024-02-28-Q2;E2024-07-09-Q2;E2025-01-29-A1-Q2;E2025-01-29-A2-Q2;E2025-02-12-A1-Q2;E2025-02-12-A2-Q2;E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-02-03-A3-Q2;E2026-02-18-A1-Q2;E2026-02-18-A2-Q2","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-TIMER-FREE-RUNNING-001","ESTABLISHED_ATLAS","timing:free-running","Free-running timer seed","7","E2023-02-07;E2024-02-12;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2026-06-25-B1;E2026-06-25-B2","E2023-02-07-Q2;E2024-02-12-Q2;E2025-01-29-A1-Q2;E2025-01-29-A2-Q2;E2025-01-29-A3-Q2;E2026-06-25-B1-Q2;E2026-06-25-B2-Q2","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-AAPCS-STACK-SAFETY-001","ESTABLISHED_ATLAS","risk:stack-alignment","Register preservation and stack safety","28","E2023-02-07;E2023-02-24;E2023-05-17;E2023-07-04;E2023-09-18;E2024-02-12;E2024-02-28;E2024-07-09;E2024-09-16;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1;E2025-07-01-A2;E2026-02-03-A1;E2026-02-03-A2;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2","E2023-02-07-Q1;E2023-02-24-Q1;E2023-02-24-Q2;E2023-05-17-Q1;E2023-05-17-Q2;E2023-07-04-Q1;E2023-09-18-Q1;E2024-02-12-Q1;E2024-02-28-Q1;E2024-07-09-Q1;E2024-07-09-Q2;E2024-09-16-Q1;E2025-01-29-A1-Q1;E2025-01-29-A2-Q1;E2025-01-29-A3-Q1;E2025-02-12-A1-Q1;E2025-02-12-A2-Q1;E2025-07-01-A1-Q1;E2025-07-01-A1-Q2;E2025-07-01-A2-Q1;E2025-07-01-A2-Q2;E2026-02-03-A1-Q1;E2026-02-03-A2-Q1;E2026-02-03-A3-Q1;E2026-02-18-A1-Q1;E2026-02-18-A2-Q1;E2026-06-25-B1-Q1;E2026-06-25-B2-Q1","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-STATE-IRQ-HANDOFF-001","ESTABLISHED_ATLAS","risk:irq-shared-state","Atomic ISR event handoff","20","E2023-02-07;E2023-07-04;E2023-09-18;E2024-02-12;E2024-02-28;E2024-09-16;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-02-03-A1;E2026-02-03-A2;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2","E2023-02-07-Q2;E2023-07-04-Q2;E2023-09-18-Q2;E2024-02-12-Q2;E2024-02-28-Q2;E2024-09-16-Q2;E2025-01-29-A1-Q2;E2025-01-29-A2-Q2;E2025-01-29-A3-Q2;E2025-02-12-A1-Q2;E2025-02-12-A2-Q2;E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-02-03-A1-Q2;E2026-02-03-A2-Q2;E2026-02-03-A3-Q2;E2026-02-18-A1-Q2;E2026-02-18-A2-Q2;E2026-06-25-B1-Q2;E2026-06-25-B2-Q2","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-TIMER-VECTOR-OWNERSHIP-001","ESTABLISHED_ATLAS","risk:vector-ownership","Exclusive interrupt-vector ownership","4","E2023-02-07;E2024-07-09;E2026-02-18-A1;E2026-02-18-A2","E2023-02-07-Q2;E2024-07-09-Q2;E2026-02-18-A1-Q2;E2026-02-18-A2-Q2","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-DATA-ASM-OBJECTS-001","HIGH_PRIORITY_EXAM_DERIVED","exam-derived:data-sum","Assembly objects and exported symbols","2","E2023-02-07;E2025-01-29-A3","E2023-02-07-Q1;E2025-01-29-A3-Q1","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-DATA-ASM-OBJECTS-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-DATA-ASM-OBJECTS-001/arm/implementation.s","HOST_EDGE_TESTED_C","SIMULATOR_EXECUTED_PASS"
"PAT-ALG-WIDE-DIVISION-001","HIGH_PRIORITY_EXAM_DERIVED","exam-derived:signed-div","Signed 64-by-32 restoring division","1","E2023-05-17","E2023-05-17-Q1","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-WIDE-DIVISION-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-WIDE-DIVISION-001/arm/implementation.s","HOST_EDGE_TESTED_C","SIMULATOR_EXECUTED_PASS"
"PAT-MEM-PACKED-TRANSPOSE-001","HIGH_PRIORITY_EXAM_DERIVED","exam-derived:transpose","Packed 8x8 bit-matrix transpose","2","E2025-01-29-A3","E2025-01-29-A3-Q1;E2025-01-29-A3-Q2","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-MEM-PACKED-TRANSPOSE-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-MEM-PACKED-TRANSPOSE-001/arm/implementation.s","HOST_EDGE_TESTED_C","SIMULATOR_EXECUTED_PASS"
"PAT-ALG-PACKED-MATMUL-001","HIGH_PRIORITY_EXAM_DERIVED","exam-derived:matmul","Packed binary matrix multiplication","1","E2025-01-29-A2","E2025-01-29-A2-Q1","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-PACKED-MATMUL-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-PACKED-MATMUL-001/arm/implementation.s","HOST_EDGE_TESTED_C","SIMULATOR_EXECUTED_PASS"
"PAT-ALG-DFS-STACK-001","HIGH_PRIORITY_EXAM_DERIVED","exam-derived:dfs-stack","Bounded DFS with an explicit stack","1","E2024-07-09","E2024-07-09-Q1","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-DFS-STACK-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-DFS-STACK-001/arm/implementation.s","HOST_EDGE_TESTED_C","SIMULATOR_EXECUTED_PASS"
"PAT-ALG-COMPONENT-MERGE-001","HIGH_PRIORITY_EXAM_DERIVED","exam-derived:component-merge","Component-label merge","1","E2024-09-16","E2024-09-16-Q1","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-COMPONENT-MERGE-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-COMPONENT-MERGE-001/arm/implementation.s","HOST_EDGE_TESTED_C","SIMULATOR_EXECUTED_PASS"
"PAT-ALG-LCG-001","HIGH_PRIORITY_EXAM_DERIVED","exam-derived:lcg","Five-argument linear congruential generator","5","E2024-02-12;E2025-07-01-A1;E2025-07-01-A2","E2024-02-12-Q2;E2025-07-01-A1-Q1;E2025-07-01-A1-Q2;E2025-07-01-A2-Q1;E2025-07-01-A2-Q2","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-LCG-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-LCG-001/arm/implementation.s","HOST_EDGE_TESTED_C","SIMULATOR_EXECUTED_PASS"
"PAT-ALG-RUN-LENGTH-001","HIGH_PRIORITY_EXAM_DERIVED","exam-derived:rle","Run-length encoding","2","E2026-02-03-A1;E2026-02-03-A2","E2026-02-03-A1-Q1;E2026-02-03-A2-Q1","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-RUN-LENGTH-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-RUN-LENGTH-001/arm/implementation.s","HOST_EDGE_TESTED_C","SIMULATOR_EXECUTED_PASS"
"PAT-ALG-LOOK-AND-SAY-001","HIGH_PRIORITY_EXAM_DERIVED","exam-derived:look-say","Bounded look-and-say generation","1","E2026-02-03-A1","E2026-02-03-A1-Q1","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-LOOK-AND-SAY-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-LOOK-AND-SAY-001/arm/implementation.s","HOST_EDGE_TESTED_C","SIMULATOR_EXECUTED_PASS"
"PAT-ALG-INDIRECT-RECURRENCE-001","HIGH_PRIORITY_EXAM_DERIVED","exam-derived:recaman","Indirect-index recurrence","3","E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2","E2026-02-03-A3-Q1;E2026-02-18-A1-Q1;E2026-02-18-A2-Q1","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-INDIRECT-RECURRENCE-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-INDIRECT-RECURRENCE-001/arm/implementation.s","HOST_EDGE_TESTED_C","SIMULATOR_EXECUTED_PASS"
"PAT-ALG-REDUCTION-001","HIGH_PRIORITY_EXAM_DERIVED","exam-derived:reduction","Signed min max and sum reduction","4","E2024-09-16;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1","E2024-09-16-Q1;E2026-02-18-A1-Q1;E2026-02-18-A2-Q1;E2026-06-25-B1-Q1","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-REDUCTION-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-REDUCTION-001/arm/implementation.s","HOST_EDGE_TESTED_C","SIMULATOR_EXECUTED_PASS"
"PAT-ALG-CONSUME-ONCE-MATCH-001","HIGH_PRIORITY_EXAM_DERIVED","exam-derived:bulls","Consume-once duplicate-safe matching","4","E2026-06-25-B1;E2026-06-25-B2","E2026-06-25-B1-Q1;E2026-06-25-B1-Q2;E2026-06-25-B2-Q1;E2026-06-25-B2-Q2","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-CONSUME-ONCE-MATCH-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-CONSUME-ONCE-MATCH-001/arm/implementation.s","HOST_EDGE_TESTED_C","SIMULATOR_EXECUTED_PASS"
"PAT-ALG-LINEAR-SEARCH-001","SUPPLEMENTARY_REFERENCE","supplementary:linear-search","Linear search variants","1","E2026-02-03-A3","E2026-02-03-A3-Q1","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-LINEAR-SEARCH-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-LINEAR-SEARCH-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-BINARY-SEARCH-001","SUPPLEMENTARY_REFERENCE","supplementary:binary-search","Binary search and lower bound","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-BINARY-SEARCH-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-BINARY-SEARCH-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-ARRAY-REVERSAL-001","SUPPLEMENTARY_REFERENCE","supplementary:reverse","In-place array reversal","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-ARRAY-REVERSAL-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-ARRAY-REVERSAL-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-ARRAY-ROTATION-001","SUPPLEMENTARY_REFERENCE","supplementary:rotate","Left and right array rotation","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-ARRAY-ROTATION-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-ARRAY-ROTATION-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-SELECTION-SORT-001","SUPPLEMENTARY_REFERENCE","supplementary:selection","Selection sort","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-SELECTION-SORT-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-SELECTION-SORT-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-BUBBLE-SORT-001","SUPPLEMENTARY_REFERENCE","supplementary:bubble","Bubble sort with early termination","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-BUBBLE-SORT-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-BUBBLE-SORT-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-MERGE-SORT-001","SUPPLEMENTARY_REFERENCE","supplementary:merge-sort","Stable merge sort","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-MERGE-SORT-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-MERGE-SORT-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-QUICKSORT-001","SUPPLEMENTARY_REFERENCE","supplementary:quicksort","Partition-based quicksort","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-QUICKSORT-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-QUICKSORT-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-HEAP-SORT-001","SUPPLEMENTARY_REFERENCE","supplementary:heap-sort","Heap construction and heap sort","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-HEAP-SORT-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-HEAP-SORT-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-COUNTING-SORT-001","SUPPLEMENTARY_REFERENCE","supplementary:counting-sort","Bounded counting sort","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-COUNTING-SORT-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-COUNTING-SORT-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
"PAT-ALG-GCD-LCM-001","SUPPLEMENTARY_REFERENCE","supplementary:gcd","Euclidean GCD and overflow-aware LCM","0","","","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-GCD-LCM-001/c/reference.c","02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-GCD-LCM-001/arm/implementation.s","HOST_EDGE_TESTED_C","COMPILE_ONLY"
