"title","family","tag","exam_ids","c_source","arm_source","question_count"
"Register preservation and stack safety","risk","risk:stack-alignment","E2023-02-07;E2023-02-24;E2023-05-17;E2023-07-04;E2023-09-18;E2024-02-12;E2024-02-28;E2024-07-09;E2024-09-16;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1;E2025-07-01-A2;E2026-02-03-A1;E2026-02-03-A2;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/01%20-%20C%20Foundations/C_EXAM_COURSE.md","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/02%20-%20Assembly%20Building%20Blocks/nonleaf_function.s","28"
"Atomic ISR event handoff","risk","risk:irq-shared-state","E2023-02-07;E2023-07-04;E2023-09-18;E2024-02-12;E2024-02-28;E2024-09-16;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-02-03-A1;E2026-02-03-A2;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/08%20-%20Board%20Components/periodic_timer.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/02%20-%20ARM%20Foundations/ASSEMBLY_EXAM_COURSE.md","20"
"Exclusive interrupt-vector ownership","risk","risk:vector-ownership","E2023-02-07;E2024-07-09;E2026-02-18-A1;E2026-02-18-A2","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/08%20-%20Board%20Components/multi_timer_state.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/07%20-%20Interrupts%20and%20Exceptions/systick_raw.s","4"
"Assembly objects and exported symbols","exam-derived","exam-derived:data-sum","E2023-02-07;E2025-01-29-A3","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-DATA-ASM-OBJECTS-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-DATA-ASM-OBJECTS-001/arm/implementation.s","2"
"Signed 64-by-32 restoring division","exam-derived","exam-derived:signed-div","E2023-05-17","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-WIDE-DIVISION-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-WIDE-DIVISION-001/arm/implementation.s","1"
"Packed 8x8 bit-matrix transpose","exam-derived","exam-derived:transpose","E2025-01-29-A3","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-MEM-PACKED-TRANSPOSE-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-MEM-PACKED-TRANSPOSE-001/arm/implementation.s","2"
"Packed binary matrix multiplication","exam-derived","exam-derived:matmul","E2025-01-29-A2","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-PACKED-MATMUL-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-PACKED-MATMUL-001/arm/implementation.s","1"
"Bounded DFS with an explicit stack","exam-derived","exam-derived:dfs-stack","E2024-07-09","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-DFS-STACK-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-DFS-STACK-001/arm/implementation.s","1"
"Component-label merge","exam-derived","exam-derived:component-merge","E2024-09-16","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-COMPONENT-MERGE-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-COMPONENT-MERGE-001/arm/implementation.s","1"
"Five-argument linear congruential generator","exam-derived","exam-derived:lcg","E2024-02-12;E2025-07-01-A1;E2025-07-01-A2","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-LCG-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-LCG-001/arm/implementation.s","5"
"Run-length encoding","exam-derived","exam-derived:rle","E2026-02-03-A1;E2026-02-03-A2","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-RUN-LENGTH-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-RUN-LENGTH-001/arm/implementation.s","2"
"Bounded look-and-say generation","exam-derived","exam-derived:look-say","E2026-02-03-A1","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-LOOK-AND-SAY-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-LOOK-AND-SAY-001/arm/implementation.s","1"
"Indirect-index recurrence","exam-derived","exam-derived:recaman","E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-INDIRECT-RECURRENCE-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-INDIRECT-RECURRENCE-001/arm/implementation.s","3"
"Signed min max and sum reduction","exam-derived","exam-derived:reduction","E2024-09-16;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-REDUCTION-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-REDUCTION-001/arm/implementation.s","4"
"Consume-once duplicate-safe matching","exam-derived","exam-derived:bulls","E2026-06-25-B1;E2026-06-25-B2","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-CONSUME-ONCE-MATCH-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-CONSUME-ONCE-MATCH-001/arm/implementation.s","4"
"Linear search variants","supplementary","supplementary:linear-search","E2026-02-03-A3","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-LINEAR-SEARCH-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-LINEAR-SEARCH-001/arm/implementation.s","1"
"Binary search and lower bound","supplementary","supplementary:binary-search","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-BINARY-SEARCH-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-BINARY-SEARCH-001/arm/implementation.s","0"
"In-place array reversal","supplementary","supplementary:reverse","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-ARRAY-REVERSAL-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-ARRAY-REVERSAL-001/arm/implementation.s","0"
"Left and right array rotation","supplementary","supplementary:rotate","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-ARRAY-ROTATION-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-ARRAY-ROTATION-001/arm/implementation.s","0"
"Selection sort","supplementary","supplementary:selection","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-SELECTION-SORT-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-SELECTION-SORT-001/arm/implementation.s","0"
"Bubble sort with early termination","supplementary","supplementary:bubble","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-BUBBLE-SORT-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-BUBBLE-SORT-001/arm/implementation.s","0"
"Stable merge sort","supplementary","supplementary:merge-sort","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-MERGE-SORT-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-MERGE-SORT-001/arm/implementation.s","0"
"Partition-based quicksort","supplementary","supplementary:quicksort","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-QUICKSORT-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-QUICKSORT-001/arm/implementation.s","0"
"Heap construction and heap sort","supplementary","supplementary:heap-sort","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-HEAP-SORT-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-HEAP-SORT-001/arm/implementation.s","0"
"Bounded counting sort","supplementary","supplementary:counting-sort","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-COUNTING-SORT-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-COUNTING-SORT-001/arm/implementation.s","0"
"Euclidean GCD and overflow-aware LCM","supplementary","supplementary:gcd","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-GCD-LCM-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-GCD-LCM-001/arm/implementation.s","0"
"Prime testing and trial factorization","supplementary","supplementary:prime","E2023-07-04","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-PRIME-FACTORIZATION-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-PRIME-FACTORIZATION-001/arm/implementation.s","1"
"Integer square root","supplementary","supplementary:isqrt","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-INTEGER-SQRT-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-INTEGER-SQRT-001/arm/implementation.s","0"
"Exponentiation by squaring","supplementary","supplementary:power","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-FAST-POWER-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-FAST-POWER-001/arm/implementation.s","0"
"Decimal digit algorithms","supplementary","supplementary:digits","E2023-02-24;E2023-09-18","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-DECIMAL-DIGITS-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-DECIMAL-DIGITS-001/arm/implementation.s","2"
"Population count and parity","supplementary","supplementary:popcount","","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-POPCOUNT-PARITY-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-POPCOUNT-PARITY-001/arm/implementation.s","0"
"Bitfield extraction insertion and packing","supplementary","supplementary:bitfield","E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-07-01-A2;E2026-06-25-B1;E2026-06-25-B2","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-BITFIELD-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-BITFIELD-001/arm/implementation.s","6"
"Clamp absolute saturation and overflow","supplementary","supplementary:saturate","E2026-02-18-A1;E2026-02-18-A2","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-SATURATING-ARITHMETIC-001/c/reference.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/11%20-%20Maximum%20Algorithm%20Reference/PAT-ALG-SATURATING-ARITHMETIC-001/arm/implementation.s","2"
