pattern_id,tag,title,canonical_code,alternative_code,adaptation,status
PAT-TIMER-OWNERSHIP-001,board:timer,Timer setup and ownership,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\periodic_timer.c,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\multi_timer_state.c,Assign each timer/vector once and keep the callback bounded.,COMPILED_CODE
PAT-GPIO-EVENT-001,board:gpio,GPIO event capture,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\button_debounce_event.c,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\joystick_state_machine.c,Publish an event in the callback and consume it once in foreground.,COMPILED_CODE
PAT-GPIO-JOYSTICK-001,board:joystick,Joystick event state machine,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\joystick_state_machine.c,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\button_debounce_event.c,"Change the transition table and display policy, not the debounce/event plumbing.",COMPILED_CODE
PAT-ADC-SAMPLE-001,board:adc,ADC sample conversion,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\adc_to_leds.c,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\joystick_state_machine.c,"Normalize the 12-bit sample once, then pass the value to a small policy function.",COMPILED_CODE
PAT-DAC-STREAM-001,board:dac,DAC table streaming,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\dac_table_stream.c,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\multi_timer_state.c,Change sample table and period; keep the ISR index bounded and wrap explicitly.,COMPILED_CODE
PAT-STATE-EVENT-LOOP-001,state:event-loop,ISR-to-foreground event loop,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\joystick_state_machine.c,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\periodic_timer.c,Callbacks only set bits/data; the foreground loop owns algorithm calls and display changes.,COMPILED_CODE
PAT-STATE-DEBOUNCE-001,state:debounce,Deterministic debounce,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\button_debounce_event.c,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\joystick_state_machine.c,Change confirmation ticks in configuration; retain press and release edges.,COMPILED_CODE
PAT-TIMER-PERIODIC-001,timing:periodic,Periodic match scheduling,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\periodic_timer.c,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\multi_timer_state.c,Change the millisecond period and timer ID in the configuration call.,COMPILED_CODE
PAT-TIMER-FREE-RUNNING-001,timing:free-running,Free-running timer seed,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\free_running_timer.c,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\periodic_timer.c,Use the counter as a seed/capture and do not enable the match interrupt unless required.,COMPILED_CODE
PAT-AAPCS-STACK-SAFETY-001,risk:stack-alignment,Register preservation and stack safety,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\01_aapcs\nonleaf_function.s,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\01_aapcs\five_to_seven_arguments.s,"Preserve R4-R11, save LR before BL, and push an even register count.",COMPILED_CODE
PAT-STATE-IRQ-HANDOFF-001,risk:irq-shared-state,Atomic ISR event handoff,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\periodic_timer.c,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\button_debounce_event.c,Make shared events volatile/atomic through the kit API and take them once in foreground.,COMPILED_CODE
PAT-TIMER-VECTOR-OWNERSHIP-001,risk:vector-ownership,Exclusive interrupt-vector ownership,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\03_board\multi_timer_state.c,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\04_rare_dangerous\systick_raw.s,Select exactly one owner per IRQ handler and clear only that peripheral's pending source.,COMPILED_CODE
