question_id,exam_id,question,delivery_mode,requirement,source_pdf,source_sha256,tags,pattern_ids,simulator_status,hardware_status,physical_status
E2024-02-12-Q1,E2024-02-12,Q1,ASM,Solve a two-dimensional byte maze by repeatedly propagating reachable distances until the destination is reached or no progress remains.,Exams/23-24/20240212 arm.pdf,857211aa08989b7cd8e4630443c80fe33a4ad8e94d34a17636626deac8230ede,abi:nonleaf;alg:graph-search;flow:early-break;flow:nested-loop;mem:byte-array;mem:matrix-row-major;risk:stack-alignment,PAT-AAPCS-NONLEAF-001;PAT-ALG-GRAPH-SEARCH-001;PAT-FLOW-EARLY-BREAK-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2024-02-12-Q2,E2024-02-12,Q2,C + ASM call,"Generate a random maze with an LCG seeded from a free-running Timer0, start from KEY2, fill the byte matrix safely, and call the assembly solver.",Exams/23-24/20240212 arm.pdf,857211aa08989b7cd8e4630443c80fe33a4ad8e94d34a17636626deac8230ede,abi:nonleaf;alg:graph-search;board:gpio;board:timer;cpu:flags;flow:nested-loop;mem:matrix-row-major;risk:irq-shared-state;state:debounce;state:event-loop;timing:free-running,PAT-AAPCS-NONLEAF-001;PAT-ALG-GRAPH-SEARCH-001;PAT-GPIO-EVENT-001;PAT-TIMER-OWNERSHIP-001;PAT-CPU-FLAGS-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-STATE-IRQ-HANDOFF-001;PAT-STATE-DEBOUNCE-001;PAT-STATE-EVENT-LOOP-001;PAT-TIMER-FREE-RUNNING-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2024-02-28-Q1,E2024-02-28,Q1,ASM,"Compute a shortest path through a two-dimensional byte maze while respecting walls, bounds and distance updates.",Exams/23-24/20240228 arm.pdf,772f6c10718ce63a360fd71027fbfce97bacac7b86829e48cf4bd3763d966783,abi:nonleaf;alg:graph-search;flow:nested-loop;mem:byte-array;mem:matrix-row-major;risk:stack-alignment,PAT-AAPCS-NONLEAF-001;PAT-ALG-GRAPH-SEARCH-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2024-02-28-Q2,E2024-02-28,Q2,C,Configure a timer for a 0.5-second sequence and move an LED indication through the required states without losing events.,Exams/23-24/20240228 arm.pdf,772f6c10718ce63a360fd71027fbfce97bacac7b86829e48cf4bd3763d966783,alg:graph-search;alg:recurrence;board:gpio;board:timer;risk:irq-shared-state;state:event-loop;timing:periodic,PAT-ALG-GRAPH-SEARCH-001;PAT-ALG-RECURRENCE-001;PAT-GPIO-EVENT-001;PAT-TIMER-OWNERSHIP-001;PAT-STATE-IRQ-HANDOFF-001;PAT-STATE-EVENT-LOOP-001;PAT-TIMER-PERIODIC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2024-07-09-Q1,E2024-07-09,Q1,ASM,"Solve a maze with depth-first search using an explicit stack, four parameters and a nested call to chooseNeighbor.",Exams/23-24/20240709 arm.pdf,072489aedf62543620d5bb60295fb085204bae358d5316fb342c1150475a9a98,abi:four-register-args;abi:nonleaf;alg:graph-search;flow:nested-loop;mem:byte-array;mem:matrix-row-major;risk:stack-alignment,PAT-AAPCS-FOUR-ARGS-001;PAT-AAPCS-NONLEAF-001;PAT-ALG-GRAPH-SEARCH-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2024-07-09-Q2,E2024-07-09,Q2,ASM startup/exception,"Configure SysTick directly in Reset_Handler, collect available moves, choose one using modulo arithmetic, and keep the stack balanced across all branches.",Exams/23-24/20240709 arm.pdf,072489aedf62543620d5bb60295fb085204bae358d5316fb342c1150475a9a98,abi:nonleaf;alg:graph-search;alg:recurrence;board:timer;risk:stack-alignment;timing:periodic,PAT-AAPCS-NONLEAF-001;PAT-ALG-GRAPH-SEARCH-001;PAT-ALG-RECURRENCE-001;PAT-TIMER-OWNERSHIP-001;PAT-AAPCS-STACK-SAFETY-001;PAT-TIMER-PERIODIC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2024-09-16-Q1,E2024-09-16,Q1,ASM,"Implement the Kruskal-style maze operation across three arrays with seven parameters, including min/max selection, component replacement and row-major access.",Exams/23-24/20240916 arm.pdf,bbadd5254928052d8fdf6f824af902ed80a57c58adbb8028e7ec666d2935e3c1,abi:four-register-args;abi:nonleaf;abi:stacked-args;alg:graph-search;cpu:flags;flow:nested-loop;mem:byte-array;mem:matrix-row-major;risk:stack-alignment,PAT-AAPCS-FOUR-ARGS-001;PAT-AAPCS-NONLEAF-001;PAT-AAPCS-STACKED-ARGS-001;PAT-ALG-GRAPH-SEARCH-001;PAT-CPU-FLAGS-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2024-09-16-Q2,E2024-09-16,Q2,C,Implement a two-button state machine that increments a value and applies the required offset while handling event order and button behavior.,Exams/23-24/20240916 arm.pdf,bbadd5254928052d8fdf6f824af902ed80a57c58adbb8028e7ec666d2935e3c1,abi:nonleaf;board:gpio;cpu:flags;mem:matrix-row-major;risk:irq-shared-state;state:debounce;state:event-loop,PAT-AAPCS-NONLEAF-001;PAT-GPIO-EVENT-001;PAT-CPU-FLAGS-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-STATE-IRQ-HANDOFF-001;PAT-STATE-DEBOUNCE-001;PAT-STATE-EVENT-LOOP-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-01-29-A1-Q1,E2025-01-29-A1,Q1,ASM,Apply the requested bitwise affine transformation to a packed 8x8 binary matrix while preserving the specified bit and row order.,Exams/24-25/2025_01_29/20250129_ARM1.pdf,81b1160be1d5b7aa4520486427166188d838607a3f22089c7b04734b3dad4575,alg:fixed-point;flow:nested-loop;mem:byte-array;mem:matrix-row-major;risk:stack-alignment,PAT-ALG-FIXED-POINT-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-01-29-A1-Q2,E2025-01-29-A1,Q2,C + ASM call,Run Timer1 freely with reset at 0xFFFF and no IRQ; INT0 collects bytes and XORs/displays them; KEY1 calls the assembly transform; Timer0 blinks rows with a 0.5-second full period.,Exams/24-25/2025_01_29/20250129_ARM1.pdf,81b1160be1d5b7aa4520486427166188d838607a3f22089c7b04734b3dad4575,abi:nonleaf;board:gpio;board:timer;risk:irq-shared-state;timing:free-running;timing:periodic,PAT-AAPCS-NONLEAF-001;PAT-GPIO-EVENT-001;PAT-TIMER-OWNERSHIP-001;PAT-STATE-IRQ-HANDOFF-001;PAT-TIMER-FREE-RUNNING-001;PAT-TIMER-PERIODIC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-01-29-A2-Q1,E2025-01-29-A2,Q1,ASM,Multiply two packed binary matrices using bit-level dot products and store the packed result with the required orientation.,Exams/24-25/2025_01_29/20250129_ARM2.pdf,af077d82dca1acfbbac322ee1774a4d6c4ec796d42721c073e0b0fc20543e50b,flow:early-break;flow:nested-loop;mem:byte-array;mem:matrix-row-major;risk:stack-alignment,PAT-FLOW-EARLY-BREAK-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-01-29-A2-Q2,E2025-01-29-A2,Q2,C + ASM call,Use the specified free-running timer and interrupts to fill matrices A and B; invoke multiplication on KEY1; display result rows on LEDs every 0.5 seconds.,Exams/24-25/2025_01_29/20250129_ARM2.pdf,af077d82dca1acfbbac322ee1774a4d6c4ec796d42721c073e0b0fc20543e50b,board:gpio;board:timer;cpu:flags;flow:nested-loop;mem:matrix-row-major;risk:irq-shared-state;timing:free-running;timing:periodic,PAT-GPIO-EVENT-001;PAT-TIMER-OWNERSHIP-001;PAT-CPU-FLAGS-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-STATE-IRQ-HANDOFF-001;PAT-TIMER-FREE-RUNNING-001;PAT-TIMER-PERIODIC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-01-29-A3-Q1,E2025-01-29-A3,Q1,ASM,Transpose a packed binary matrix by exchanging row/column bit coordinates without corrupting unrelated bits.,Exams/24-25/2025_01_29/20250129_ARM3.pdf,761ce33d98721985812e9dac30fedd846893bfc2ccbc7b16513615d24cde2a6e,board:dac;flow:nested-loop;mem:byte-array;mem:matrix-row-major;risk:stack-alignment,PAT-DAC-STREAM-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-01-29-A3-Q2,E2025-01-29-A3,Q2,C + ASM call,"Use Timer2 and KEY1/KEY2 to fill arrays, then use INT0 to verify the requested algebraic property and display pass/fail on LEDs.",Exams/24-25/2025_01_29/20250129_ARM3.pdf,761ce33d98721985812e9dac30fedd846893bfc2ccbc7b16513615d24cde2a6e,abi:nonleaf;board:dac;board:gpio;board:timer;risk:irq-shared-state;state:debounce;state:event-loop;timing:free-running;timing:periodic,PAT-AAPCS-NONLEAF-001;PAT-DAC-STREAM-001;PAT-GPIO-EVENT-001;PAT-TIMER-OWNERSHIP-001;PAT-STATE-IRQ-HANDOFF-001;PAT-STATE-DEBOUNCE-001;PAT-STATE-EVENT-LOOP-001;PAT-TIMER-FREE-RUNNING-001;PAT-TIMER-PERIODIC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-02-12-A1-Q1,E2025-02-12-A1,Q1,ASM,"Generate sine values with the stated Maclaurin/fixed-point recurrence, maintaining scale, signs, loop limits and array storage.",Exams/24-25/2025_02_12/20250212_ARM1.pdf,04bdc71658fd0d480ff738ea259fb791ea48991a1e45b2f4d8ec082de65a597f,alg:fixed-point;alg:recurrence;board:dac;cpu:flags;mem:matrix-row-major;mem:word-array;risk:stack-alignment,PAT-ALG-FIXED-POINT-001;PAT-ALG-RECURRENCE-001;PAT-DAC-STREAM-001;PAT-CPU-FLAGS-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-MEM-WORD-ARRAY-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-02-12-A1-Q2,E2025-02-12-A1,Q2,C + ASM call,"On INT0, call the assembly generator for sineValues[45]; configure Timer0 every 1263 cycles and stream the samples to the DAC; no debouncing is required.",Exams/24-25/2025_02_12/20250212_ARM1.pdf,04bdc71658fd0d480ff738ea259fb791ea48991a1e45b2f4d8ec082de65a597f,abi:nonleaf;alg:fixed-point;board:adc;board:dac;board:gpio;board:timer;mem:matrix-row-major;risk:irq-shared-state;state:debounce;timing:periodic,PAT-AAPCS-NONLEAF-001;PAT-ALG-FIXED-POINT-001;PAT-ADC-SAMPLE-001;PAT-DAC-STREAM-001;PAT-GPIO-EVENT-001;PAT-TIMER-OWNERSHIP-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-STATE-IRQ-HANDOFF-001;PAT-STATE-DEBOUNCE-001;PAT-TIMER-PERIODIC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-02-12-A2-Q1,E2025-02-12-A2,Q1,ASM,"Generate cosine values with the required fixed-point recurrence, scale and array bounds.",Exams/24-25/2025_02_12/20250212_ARM2.pdf,6260e7e253a7ddd3c5e186b84f08ef3366e0f4d062501001dadd1abb872a8b10,alg:fixed-point;alg:recurrence;mem:word-array;risk:stack-alignment,PAT-ALG-FIXED-POINT-001;PAT-ALG-RECURRENCE-001;PAT-MEM-WORD-ARRAY-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-02-12-A2-Q2,E2025-02-12-A2,Q2,C + ASM call,"Use KEY1 to generate the waveform, configure Timer1 every 1592 cycles, and stream the table through the DAC according to the stated trigger behavior.",Exams/24-25/2025_02_12/20250212_ARM2.pdf,6260e7e253a7ddd3c5e186b84f08ef3366e0f4d062501001dadd1abb872a8b10,abi:nonleaf;board:adc;board:dac;board:gpio;board:timer;risk:irq-shared-state;timing:periodic,PAT-AAPCS-NONLEAF-001;PAT-ADC-SAMPLE-001;PAT-DAC-STREAM-001;PAT-GPIO-EVENT-001;PAT-TIMER-OWNERSHIP-001;PAT-STATE-IRQ-HANDOFF-001;PAT-TIMER-PERIODIC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-07-01-A1-Q1,E2025-07-01-A1,Q1,ASM,Implement the requested linear congruential generator with five parameters and correct unsigned wraparound/modulo behavior.,Exams/24-25/2025_07_01/ARM1.pdf,62e6a6f5101df35128b299c565c82f3338a8474dfb83b30e87efb2916a401843,abi:stacked-args;risk:stack-alignment,PAT-AAPCS-STACKED-ARGS-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-07-01-A1-Q2,E2025-07-01-A1,Q2,ASM startup,Call the LCG repeatedly from Reset_Handler and maintain the required sequence/state without violating startup or call conventions.,Exams/24-25/2025_07_01/ARM1.pdf,62e6a6f5101df35128b299c565c82f3338a8474dfb83b30e87efb2916a401843,abi:nonleaf;abi:stacked-args;alg:recurrence;mem:word-array;risk:stack-alignment,PAT-AAPCS-NONLEAF-001;PAT-AAPCS-STACKED-ARGS-001;PAT-ALG-RECURRENCE-001;PAT-MEM-WORD-ARRAY-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-07-01-A1-Q3,E2025-07-01-A1,Q3,C,Use Timer0 for a three-second LED sequence and accept only the joystick's first movement for the rhythm-game state transition.,Exams/24-25/2025_07_01/ARM1.pdf,62e6a6f5101df35128b299c565c82f3338a8474dfb83b30e87efb2916a401843,alg:recurrence;board:gpio;board:joystick;board:timer;cpu:flags;risk:irq-shared-state;state:event-loop;timing:periodic,PAT-ALG-RECURRENCE-001;PAT-GPIO-EVENT-001;PAT-GPIO-JOYSTICK-001;PAT-TIMER-OWNERSHIP-001;PAT-CPU-FLAGS-001;PAT-STATE-IRQ-HANDOFF-001;PAT-STATE-EVENT-LOOP-001;PAT-TIMER-PERIODIC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-07-01-A2-Q1,E2025-07-01-A2,Q1,ASM,"Implement the variant LCG with its shift operation and five-argument interface, preserving the specified arithmetic order.",Exams/24-25/2025_07_01/ARM2.pdf,61b5bc6866d95a1ce17fd0356cb661d342641945037f71924afc4050cfba1e81,abi:stacked-args;risk:stack-alignment,PAT-AAPCS-STACKED-ARGS-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-07-01-A2-Q2,E2025-07-01-A2,Q2,ASM startup,Drive the variant generator from Reset_Handler with correct argument construction and persistent loop state.,Exams/24-25/2025_07_01/ARM2.pdf,61b5bc6866d95a1ce17fd0356cb661d342641945037f71924afc4050cfba1e81,abi:nonleaf;abi:stacked-args;alg:recurrence;flow:nested-loop;mem:word-array;risk:stack-alignment,PAT-AAPCS-NONLEAF-001;PAT-AAPCS-STACKED-ARGS-001;PAT-ALG-RECURRENCE-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-WORD-ARRAY-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-07-01-A2-Q3,E2025-07-01-A2,Q3,C,Use Timer1 for a 2.5-second LED sequence and process only the joystick's first movement in the game logic.,Exams/24-25/2025_07_01/ARM2.pdf,61b5bc6866d95a1ce17fd0356cb661d342641945037f71924afc4050cfba1e81,alg:recurrence;board:gpio;board:joystick;board:timer;risk:irq-shared-state;state:event-loop,PAT-ALG-RECURRENCE-001;PAT-GPIO-EVENT-001;PAT-GPIO-JOYSTICK-001;PAT-TIMER-OWNERSHIP-001;PAT-STATE-IRQ-HANDOFF-001;PAT-STATE-EVENT-LOOP-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2026-02-03-A1-Q1,E2026-02-03-A1,Q1,ASM,"Generate the Look-and-Say sequence in the required digit representation, grouping equal runs and writing count/value pairs without overrunning the output buffer.",Exams/Exam 03.02.2026/20260203_ARM_1.pdf,4d1f2a9349357a96f0785b83bf347553e73bcd551ccac6d4086dbe5a545488f4,abi:nonleaf;alg:recurrence;cpu:flags;mem:byte-array;mem:word-array;risk:stack-alignment,PAT-AAPCS-NONLEAF-001;PAT-ALG-RECURRENCE-001;PAT-CPU-FLAGS-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-WORD-ARRAY-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2026-02-03-A1-Q2,E2026-02-03-A1,Q2,C + ASM call,"Read the potentiometer through ADC, show the top eight bits on LEDs, and on INT0 call the assembly routine with physical debouncing enabled.",Exams/Exam 03.02.2026/20260203_ARM_1.pdf,4d1f2a9349357a96f0785b83bf347553e73bcd551ccac6d4086dbe5a545488f4,abi:nonleaf;board:adc;board:dac;board:gpio;risk:irq-shared-state;state:debounce;state:event-loop,PAT-AAPCS-NONLEAF-001;PAT-ADC-SAMPLE-001;PAT-DAC-STREAM-001;PAT-GPIO-EVENT-001;PAT-STATE-IRQ-HANDOFF-001;PAT-STATE-DEBOUNCE-001;PAT-STATE-EVENT-LOOP-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2026-02-03-A2-Q1,E2026-02-03-A2,Q1,ASM,"Run-length encode the digit array into the required count/value format, including final-run handling and output length.",Exams/Exam 03.02.2026/20260203_ARM_2.pdf,ecc909cda345d5f4bbd6c6978f0417a8921c5647290b8feaadba497438a44829,flow:early-break;mem:byte-array;mem:word-array;risk:stack-alignment,PAT-FLOW-EARLY-BREAK-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-WORD-ARRAY-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
