"question_id","date","question","requirement_summary","keywords","answer_file","function_or_handler","argument_mapping","architecture","constants","peripheral_tags","interrupt_tags","timing_tags","architecture_tags","algorithm_tags","usage_tags"
"2024-02-12-Q1","2024-02-12","Q1","Propagate maze direction letters from the exit until no additional cells can be labelled.","maze flood-fill propagation N E S W fixed-point","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2024-02-12-q1/assembly.s","mazeSolver","uint32_t mazeSolver(uint32_t rows, uint32_t columns, uint8_t *maze): R0=rows, R1=columns, R2=flat writable bytes. Walls are *, passages are spaces, border exits are lowercase n/e/s/w. Mutate reachable passages into directions; return the number of productive propagation waves.","assembly maze algorithm","walls *; passages space; exits n/e/s/w","","","","","Maze","Complete recipe"
"2024-02-12-Q2","2024-02-12","Q2","Seed an LCG from Timer0, generate the maze on KEY2, then call the assembly solver.","LCG Timer0 KEY2 debounce random maze","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2024-02-12-q2/main.c","EINT2_IRQHandler","KEY2 samples free-running Timer0, creates a 10x8 maze, then calls mazeSolver inside EINT2_IRQHandler. Generate values with (previous*18) mod 101. Border threshold90; interior passage threshold60. Corners are always * and consume no random value.","C peripherals + algorithm","10x8; multiplier 18; modulus 101; border threshold 90; interior threshold 60","Buttons|Timer0","EINT|Timer IRQ|Acknowledgement","","C-to-assembly","Recurrence|Maze","Complete recipe|Professor interface|Exam API"
"2024-02-28-Q1","2024-02-28","Q1","Compute shortest-path distances from the exit through an encoded maze.","maze shortest path distance propagation breadth fixed-point","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2024-02-28-q1/assembly.s","shortestPath","uint32_t shortestPath(uint32_t rows, uint32_t columns, uint8_t *maze): walls X, spaces unvisited, entrance e, exit numeric byte0. Fill distance bytes and return the distance k of a cell adjacent to the entrance; the final entrance-to-exit route has k+1 moves.","assembly maze algorithm","walls X; entrance e; exit numeric 0; failure UINT32_MAX","","","","","Searching|Maze","Complete recipe"
"2024-02-28-Q2","2024-02-28","Q2","Use Timer0 to display each path direction for 0.5 s followed by 0.5 s off.","Timer0 500ms LED route directions state machine","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2024-02-28-q2/main.c","TIMER0_IRQHandler","Solve the exact 9x8 C maze, then use Timer0 at 500 ms per phase. Right/down/left/up map to LEDs 4/5/6/7. Show each move for 500 ms, then blank for 500 ms. Include the final move into numeric0.","C timer state machine","500 ms phases","LED|Timer0","Timer IRQ|Acknowledgement","Delays","","","Complete recipe|Professor interface|Exam API"
"2024-07-09-Q1","2024-07-09","Q1","Visit the maze with deterministic depth-first search and open reciprocal passage bits.","choose neighbor random SysTick modulo DFS","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2024-07-09-q1/assembly.s","chooseNeighbor; chooseRandomNeighbor; depthFirstSearch; depthFirstSearchRandom","void depthFirstSearch(uint8_t *maze, uint32_t rows, uint32_t columns, uint32_t start): R0-R3 in that order. Border bytes are0xFF. Interior bit 0=visited; bits 1/2/3/4=open right/down/left/up. chooseNeighbor receives four visited flags and returns the first unvisited direction 1..4, or 0.","assembly helper","border 0xFF; visited bit0; directions 1..4","SysTick","","","ABI","Sorting|Maze","Complete recipe"
"2024-07-09-Q2","2024-07-09","Q2","Run randomized depth-first maze traversal with stack backtracking and a strong Reset_Handler that starts SysTick.","DFS maze stack backtrack Reset_Handler SysTick LOAD","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2024-07-09-q2/main.c; 03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2024-07-09-q2/assembly.s","chooseNeighbor; chooseRandomNeighbor; depthFirstSearch; depthFirstSearchRandom; Reset_Handler","chooseRandomNeighbor receives the same four flags as chooseNeighbor. Push eligible direction numbers in right/down/left/up order, index that stack by SysTick_VAL mod count, and return 0 if none are eligible. Q2 Reset_Handler sets LOAD=0xFFFFF and starts SysTick without interrupts.","assembly traversal + startup","SysTick LOAD=0xFFFFF; CTRL=5 (no interrupt)","SysTick","","","Reset","Arrays|Searching|Maze","Complete recipe|Direct registers"
"2024-09-16-Q1","2024-09-16","Q1","Apply Kruskal-style wall removal using seven ABI arguments and merge component labels.","Kruskal maze seven arguments stack ABI merge components","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2024-09-16-q1/assembly.s","kruskal","void kruskal(uint8_t *maze, uint8_t *horizontal, uint8_t *vertical, uint32_t rows, uint32_t columns, uint32_t y, uint32_t x). R0-R3 hold the first four; entry[SP], [SP+4], [SP+8] hold columns, y, x. Each array has rows*columns bytes; cells start with distinct labels 0..N-1.","assembly graph algorithm + ABI","horizontal/vertical wall arrays","","","","ABI|Stack arguments","Arrays|Graph|Maze","Complete recipe"
"2024-09-16-Q2","2024-09-16","Q2","Two successive raw button interrupts select increment and offset, then call Kruskal immediately on the second choice.","two button sequence raw parameters LED Kruskal","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2024-09-16-q2/main.c","EINT0_IRQHandler; EINT1_IRQHandler; EINT2_IRQHandler","Initialize a 3x4 maze and wall arrays. The first button chooses increment: INT0=2, KEY1=3, KEY2=4. The second chooses offset with the same mapping and immediately calls kruskal with seven arguments.","C state machine + IRQ","choices 2,3,4","LED|Buttons","EINT|Acknowledgement","","C-to-assembly","Recurrence|Graph","Complete recipe|Professor interface|Exam API"
"2025-01-29_ARM1-Q1","2025-01-29","Q1","Apply the specified 8-bit affine transformation using a bit matrix and XOR vector.","affine transformation GF2 bit matrix XOR","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-01-29-arm1-q1/assembly.s","bitwiseAffineTransformation","uint32_t bitwiseAffineTransformation(const uint8_t *A, uint32_t b, uint32_t c): R0=A, R1=b, R2=c; return d in R0. A contains eight packed row bytes. Row0 produces bit 7; vector bits and row columns run most-significant first. Inputs remain unchanged. Both b and c are byte values in 0..255.","assembly bit algorithm","8x8 GF(2)","","","","","Bits|Matrix","Complete recipe"
"2025-01-29_ARM1-Q2","2025-01-29","Q2","Capture two bytes from Timer1 with INT0, transform their XOR on KEY1, and blink the result with Timer0.","Timer1 INT0 KEY1 XOR affine Timer0 blink LED","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-01-29-arm1-q2/main.c","EINT0_IRQHandler; EINT1_IRQHandler; TIMER0_IRQHandler","Timer1 resets at 0xFFFF without IRQ. INT0 XORs bits 15..8 with bits 7..0 and displays the byte. KEY1 uses A=[8F, C7, E3, F1, F8, 7C, 3E, 1F], c=63, and that displayed logical byte; Timer0 toggles every 250 ms for a 500 ms blink cycle.","C peripherals + IRQ","A=8F C7 E3 F1 F8 7C 3E 1F; c=0x63; 250 ms toggle","LED|Buttons|Timer0|Timer1","EINT|Timer IRQ|Acknowledgement|Event Flags","Capture|Delays|Multi-timer","","Bits","Complete recipe|Professor interface|Exam API"
"2025-01-29_ARM2-Q1","2025-01-29","Q1","Multiply two 8x8 bit matrices over GF(2).","bit matrix multiplication GF2 parity rows columns","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-01-29-arm2-q1/assembly.s","bitMatrixMultiplication","void bitMatrixMultiplication(const uint8_t *A, const uint8_t *B, uint8_t *C): R0=A, R1=B, R2=C. All are eight row bytes, MSB first. Write C=A*B over GF(2); preserve A and B. Q2’s explicit void prototype governs the return contract.","assembly bit algorithm","8x8 matrices","","","","","Arithmetic|Bits|Matrix","Complete recipe"
"2025-01-29_ARM2-Q2","2025-01-29","Q2","Capture matrix rows with Timer1 and buttons, compute C, and display its rows periodically.","Timer1 buttons matrix rows Timer0 LED","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-01-29-arm2-q2/main.c","EINT0_IRQHandler; EINT1_IRQHandler; TIMER0_IRQHandler","INT0 captures exactly eight pairs of bytes from Timer1: high8 into A, low8 into B. Timer1 resets at 0xFFFF with no IRQ. KEY1 before eight captures does nothing; afterward compute C and display its eight rows once for 500 ms each, then blank.","C peripherals + IRQ","8 rows","LED|Buttons|Timer0|Timer1","Timer IRQ|Acknowledgement|Event Flags","Periodic|Capture|Multi-timer","","Matrix","Complete recipe|Professor interface|Exam API"
"2025-01-29_ARM3-Q1","2025-01-29","Q1","Transpose an 8x8 bit matrix stored as eight bytes.","bit matrix transpose 8x8 masks","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-01-29-arm3-q1/assembly.s","transpose; transposition","void transposition(const uint8_t *A, uint8_t *AT): R0=input, R1=output; eight bytes each, MSB-first columns. A is read-only; AT is a distinct writable array. The prior transpose symbol remains an alias for compatibility.","assembly bit algorithm","8 bytes","","","","","Bits|Matrix","Complete recipe"
"2025-01-29_ARM3-Q2","2025-01-29","Q2","Capture A and B with Timer2 and verify transpose distributes over XOR.","Timer2 buttons transpose XOR identity LED","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-01-29-arm3-q2/main.c","EINT1_IRQHandler; EINT2_IRQHandler; EINT0_IRQHandler","Timer2 resets at 0xFFFF without IRQ. KEY1 fills A and KEY2 fills B, each with eight low timer bytes; further presses are ignored. INT0 calls transposition three times to compare transpose(A XOR B) with transpose(A) XOR transpose(B). Success lights LED4; failure LED5.","C peripherals + verification","(A xor B)^T","LED|Buttons|Timer2","Event Flags","Capture","","Bits|Matrix","Complete recipe|Professor interface|Exam API"
"2025-02-12_ARM1-Q1","2025-02-12","Q1","Approximate sine with the requested Maclaurin terms and fixed-point scaling.","Maclaurin sine fixed point factorial powers","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-02-12-arm1-q1/assembly.s","Maclaurin","int32_t Maclaurin(int32_t y, uint32_t n): R0=y, R1=maximum order n; R0=scaled approximation. y represents10*x and the output approximates100*sin(x). Include terms 0 through n.","assembly arithmetic","sine series","","","","","Arithmetic","Complete recipe"
"2025-02-12_ARM1-Q2","2025-02-12","Q2","Generate a 45-sample sine waveform through the DAC at the required Timer0 threshold.","DAC speaker sine table Timer0 45 wrap","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-02-12-arm1-q2/main.c","EINT0_IRQHandler; TIMER0_IRQHandler; TIMER1_IRQHandler; TIMER2_IRQHandler; TIMER3_IRQHandler","INT0 starts Timer0 once, with match threshold1263 timer clock ticks. IRQ_timer.c contains int sineValues[45] and the timer handler. Start ticks=0, repeat=0; after ticks 22, wrap to-22 and increment repeat. End when repeat reaches200.","C DAC + timer IRQ","45 samples; k=1263","Timer0|DAC|Speaker","Timer IRQ|Acknowledgement","","","","Complete recipe|Professor interface|Exam API"
"2025-02-12_ARM2-Q1","2025-02-12","Q1","Approximate cosine with the requested Maclaurin terms and fixed-point scaling.","Maclaurin cosine fixed point factorial powers","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-02-12-arm2-q1/assembly.s","Maclaurin_cos","int32_t Maclaurin_cos(int32_t y, uint32_t n): R0=y, R1=maximum order n; R0=scaled approximation. y represents10*x and the output approximates100*cos(x). Include terms 0 through n.","assembly arithmetic","cosine series","","","","","Arithmetic","Complete recipe"
"2025-02-12_ARM2-Q2","2025-02-12","Q2","Generate a 45-sample cosine waveform through the DAC at the required Timer1 threshold.","DAC speaker cosine table Timer1 45 wrap","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-02-12-arm2-q2/main.c","EINT1_IRQHandler; TIMER1_IRQHandler; TIMER0_IRQHandler; TIMER2_IRQHandler; TIMER3_IRQHandler","KEY1 starts Timer1 once, with match threshold1592 timer clock ticks. IRQ_timer.c contains int cosineValues[45] and the timer handler. Start ticks=0, repeat=0; after ticks 22, wrap to-22 and increment repeat. End when repeat reaches200.","C DAC + timer IRQ","45 samples; k=1592","Timer1|DAC|Speaker","Timer IRQ|Acknowledgement","","","","Complete recipe|Professor interface|Exam API"
"2025-07-01_ARM1-Q1","2025-07-01","Q1","Implement nextElementLCG and fill a DIM-byte array in Reset_Handler; DIM=10 in the worked answer.","LCG five arguments PUSH POP stack STRB Reset_Handler byte array","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-07-01-arm1-q1/assembly.s","Reset_Handler; nextElementLCG","uint32_t nextElementLCG(uint32_t previous, uint32_t a, uint32_t c, uint32_t n, uint32_t m): R0-R3=previous, a, c, n; entry[SP]=m. Return ((a*previous+c) XOR n) mod m. The standalone Reset_Handler fills DIM 10 bytes from seed 1, a 131, c7, m255.","assembly arithmetic + ABI","seed=1; a=131; c=7; n=0..9; m=255; 10 elements","","","","ABI|Stack arguments","Arithmetic|Recurrence","Complete recipe"
"2025-07-01_ARM1-Q2","2025-07-01","Q2","Generate one LCG value in each of the first ten Timer0 interrupts, every three seconds; use value modulo 4 to light exactly one LED8-11.","Timer0 3s LED modulo ten calls nextElementLCG","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-07-01-arm1-q2/main.c; 03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-07-01-arm1-q2/assembly.s","TIMER0_IRQHandler; nextElementLCG; TIMER1_IRQHandler; TIMER2_IRQHandler; TIMER3_IRQHandler","Timer0 fires every 3000 ms and calls nextElementLCG exactly10 times using the Q1 constants. Map remainder0/1/2/3 to physical LEDs 11/10/9/8, with exactly one LED on. Q2 leaves the final LED lit.","C timer IRQ + ARM assembly","seed=1; a=131; c=7; n=0..9; m=255; 10 elements","LED|Timer0","Timer IRQ|Acknowledgement","3000 ms periodic","C-to-assembly|Stack arguments","Recurrence","Complete recipe|Direct registers"
"2025-07-01_ARM1-Q3","2025-07-01","Q3","Accept only the first joystick movement per three-second LED round; score ten rounds and show LED4 for victory or LED5 otherwise.","Timer0 3s joystick edges rhythm LED RIT","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-07-01-arm1-q3/main.c; 03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-07-01-arm1-q3/assembly.s","TIMER0_IRQHandler; RIT_IRQHandler; nextElementLCG; TIMER1_IRQHandler; TIMER2_IRQHandler; TIMER3_IRQHandler","Extend Q2 with one directional joystick answer per round. LEDs 11/10/9/8 mean UP/LEFT/RIGHT/DOWN. First movement increments num_correct or num_wrong and immediately clears the LED. After the tenth full response window, win on num_correct>num_wrong: LED4; otherwise LED5.","C state machine + IRQ","seed=1; a=131; c=7; n=0..9; m=255; 10 elements; Timer0=3000ms; RIT=10ms; final score at 33s","LED|Timer0|RIT|Joystick","Timer IRQ|Acknowledgement","Delays","","Games","Complete recipe|Professor interface|Exam API"
"2025-07-01_ARM2-Q1","2025-07-01","Q1","Implement the shifted-XOR LCG and fill ten bytes from Reset_Handler.","LCG sequence array modulus AAPCS","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-07-01-arm2-q1/assembly.s","LCGsequence; Reset_Handler","uint32_t LCGsequence(uint32_t previous, uint32_t a, uint32_t c, uint32_t s, uint32_t m): R0-R3=previous, a, c, s; entry[SP]=m. Return ((a*previous+c) XOR (previous>>s)) mod m, using a logical shift. Reset_Handler fills DIM 10 bytes from seed 6, a 157, c3, s3, m256.","assembly arithmetic","seed=6; a=157; c=3; s=3; m=256; DIM=10","","","","ABI","Arrays|Arithmetic|Recurrence","Complete recipe"
"2025-07-01_ARM2-Q2","2025-07-01","Q2","Generate ten values with Timer1 every 2500 ms and display their remainders on LEDs 4..7.","Reset_Handler LCG sequence startup","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-07-01-arm2-q2/main.c; 03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-07-01-arm2-q2/assembly.s","TIMER1_IRQHandler; LCGsequence; TIMER0_IRQHandler; TIMER2_IRQHandler; TIMER3_IRQHandler","Timer1 runs every 2500 ms. Generate10 values with LCGsequence(seed 6, a 157, c3, s3, m256). Remainders0..3 map to LEDs 4..7. Supply both C and assembly; an assembly-only answer does not implement this question.","startup assembly","seed=6; a=157; c=3; s=3; m=256; 10 calls; Timer1=2500 ms","","","","Reset|Assembly-to-C","Recurrence","Complete recipe|Direct registers"
"2025-07-01_ARM2-Q3","2025-07-01","Q3","Run the Timer1/joystick first-movement rhythm interaction without hidden background ownership.","Timer1 2.5s joystick first movement edge RIT LED","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-07-01-arm2-q3/main.c","TIMER1_IRQHandler; RIT_IRQHandler; TIMER0_IRQHandler; TIMER2_IRQHandler; TIMER3_IRQHandler","LED4/5/6/7 expects UP/LEFT/RIGHT/DOWN. Count the first response per2500 ms window in hit/miss, clear the LED immediately, and keep the tenth window open for its full duration. Final hit>miss lights LED10; otherwise LED11.","C state machine + IRQ","Timer1=2500 ms; RIT=10 ms; final score at 27.5 s; win LED10, loss LED11","LED|Timer1|RIT|Joystick","Timer IRQ|Acknowledgement","Delays","","Games","Complete recipe|Professor interface|Exam API"
"2026-02-03_ARM1-Q1","2026-02-03","Q1","Produce the next look-and-say term from an unsigned decimal integer.","look-and-say decimal runs digit count","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-02-03-arm1-q1/assembly.s","Look_and_Say","uint32_t Look_and_Say(uint32_t digits): R0=input unsigned decimal number, R0=encoded next number. Process consecutive runs from left to right and append count then digit. Runs have length<=9, and the paper guarantees the output and intermediate computations fit32 bits.","assembly decimal algorithm","count then digit","","","","","Decimal","Complete recipe"
"2026-02-03_ARM1-Q2","2026-02-03","Q2","Continuously display ADC high eight bits; INT0 freezes them, calls Look_and_Say, and displays the low result byte.","ADC potentiometer INT0 debounce LED high8","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-02-03-arm1-q2/main.c","EINT0_IRQHandler; RIT_IRQHandler; ADC_IRQHandler","ADC produces12 bits. Preview sample>>4 on LEDs with LED4=bit 7, LED11=bit 0. A debounced INT0 passes the latest preview byte to Look_and_Say and displays only its low result byte.","C ADC + IRQ","12-bit ADC; high8/low8","LED|Buttons|Debounce|ADC","EINT|ADC IRQ|Acknowledgement","","C-to-assembly","","Complete recipe|Professor interface|Exam API"
"2026-02-03_ARM2-Q1","2026-02-03","Q1","Run-length encode decimal digit runs as digit followed by count.","run length encoding decimal runs compression","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-02-03-arm2-q1/assembly.s","run_length_encoding","uint32_t run_length_encoding(uint32_t digits): R0=input unsigned decimal number, R0=encoded next number. Process consecutive runs from left to right and append digit then count. Runs have length<=9, and the paper guarantees the output and intermediate computations fit32 bits.","assembly decimal algorithm","digit then count","","","","","Decimal","Complete recipe"
"2026-02-03_ARM2-Q2","2026-02-03","Q2","Continuously display ADC high eight bits; KEY1 runs RLE and displays the low result byte.","ADC potentiometer KEY1 debounce LED high8 RLE","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-02-03-arm2-q2/main.c","EINT1_IRQHandler; RIT_IRQHandler; ADC_IRQHandler","ADC produces12 bits. Preview sample>>4 on LEDs with LED4=bit 7, LED11=bit 0. A debounced KEY1 passes the latest preview byte to run_length_encoding and displays only its low result byte.","C ADC + IRQ","12-bit ADC; high8/low8","LED|Buttons|Debounce|ADC","EINT|ADC IRQ|Acknowledgement","","C-to-assembly","","Complete recipe|Professor interface|Exam API"
"2026-02-03_ARM3-Q1","2026-02-03","Q1","Fill up to 255 words with the Recaman sequence.","Recaman sequence uniqueness array positive subtraction","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-02-03-arm3-q1/assembly.s","Recaman","void Recaman(uint32_t *area, uint8_t n): R0=output words, R1=length 0..255. Write n terms starting a 0=0. For index i>0, use previous-i only if positive and absent from all earlier terms; otherwise use previous+i.","assembly sequence algorithm","maximum 255","","","","","Arrays|Recurrence","Complete recipe"
"2026-02-03_ARM3-Q2","2026-02-03","Q2","Use ADC high eight bits as Recaman length on KEY2, then show elements every two seconds.","ADC KEY2 debounce Timer0 2s Recaman LED","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-02-03-arm3-q2/main.c","EINT2_IRQHandler; RIT_IRQHandler; ADC_IRQHandler; TIMER0_IRQHandler","ADC high8 supplies length 0..255. Debounced KEY2 calls Recaman into a 255-word array. Show a 0=0 immediately, then subsequent low bytes every 2000 ms using Timer0. Playback owns the LEDs while active.","C ADC + timer IRQ","2000 ms; 255 words","LED|Buttons|Debounce|Timer0|ADC","EINT|Timer IRQ|ADC IRQ|Acknowledgement","Periodic|Delays","","Recurrence","Complete recipe|Professor interface|Exam API"
"2026-02-18_ARM1-Q1","2026-02-18","Q1","Fill 1000 Hofstadter Q terms iteratively and return the maximum.","Hofstadter Q sequence iterative maximum array","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-02-18-arm1-q1/assembly.s","HofstadterQ","unsigned int HofstadterQ(unsigned int *v, int dim): R0=output word array, R1=signed dimension; return the maximum in R0. Terms 1 and 2 are1. For later terms, Q(n)=Q(n-Q(n-1))+Q(n-Q(n-2)). The caller reserves dim words; Q2 uses1000.","assembly sequence algorithm","1000 terms in board part","","","","","Arrays|Recurrence","Complete recipe"
