"question_id","date","question","requirement_summary","keywords","answer_file","function_or_handler","argument_mapping","architecture","constants","peripheral_tags","interrupt_tags","timing_tags","architecture_tags","algorithm_tags","usage_tags"
"2025-07-01_ARM1-Q3","2025-07-01","Q3","Run the Timer0/joystick rhythm interaction with explicit edge handling and LED feedback.","Timer0 3s joystick edges rhythm LED RIT","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-07-01-arm1-q3/main.c","main; answer_joystick_sample; answer_timer0","RIT polls edges; Timer0 advances rounds","C state machine + IRQ","3000 ms","LED|Timer0|RIT|Joystick","Timer IRQ|Acknowledgement","Delays","","Games","Complete recipe|Professor interface|Exam API"
"2025-07-01_ARM2-Q1","2025-07-01","Q1","Fill an LCG sequence through an assembly routine using AAPCS arguments.","LCG sequence array modulus AAPCS","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-07-01-arm2-q1/assembly.s","LCGsequence","R0 area, R1 length, R2 seed, R3 parameters per paper","assembly arithmetic","sequence fill","","","","ABI","Arrays|Arithmetic|Recurrence","Complete recipe"
"2025-07-01_ARM2-Q2","2025-07-01","Q2","Strong Reset_Handler prepares the LCG data required by the board exercise.","Reset_Handler LCG sequence startup","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-07-01-arm2-q2/assembly.s","Reset_Handler","initializes storage then transfers to __main","startup assembly","256 elements","","","","Reset|Assembly-to-C","Recurrence","Complete recipe|Direct registers"
"2025-07-01_ARM2-Q3","2025-07-01","Q3","Run the Timer1/joystick first-movement rhythm interaction without hidden background ownership.","Timer1 2.5s joystick first movement edge RIT LED","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-07-01-arm2-q3/main.c","main; answer_joystick_sample; answer_timer1","RIT detects first edge; Timer1 advances rounds","C state machine + IRQ","2500 ms","LED|Timer1|RIT|Joystick","Timer IRQ|Acknowledgement","Delays","","Games","Complete recipe|Professor interface|Exam API"
"2026-02-03_ARM1-Q1","2026-02-03","Q1","Produce the next look-and-say term from an unsigned decimal integer.","look-and-say decimal runs digit count","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-02-03-arm1-q1/assembly.s","Look_and_Say","R0 digits; R0 next term","assembly decimal algorithm","count then digit","","","","","Decimal","Complete recipe"
"2026-02-03_ARM1-Q2","2026-02-03","Q2","Continuously display ADC high eight bits; INT0 freezes them, calls Look_and_Say, and displays the low result byte.","ADC potentiometer INT0 debounce LED high8","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-02-03-arm1-q2/main.c","main; ADC_IRQHandler; EINT0_IRQHandler","ADC fresh flag feeds main; debounced INT0 triggers assembly","C ADC + IRQ","12-bit ADC; high8/low8","LED|Buttons|Debounce|ADC","EINT|ADC IRQ|Acknowledgement","","C-to-assembly","","Complete recipe|Professor interface|Exam API"
"2026-02-03_ARM2-Q1","2026-02-03","Q1","Run-length encode decimal digit runs as digit followed by count.","run length encoding decimal runs compression","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-02-03-arm2-q1/assembly.s","run_length_encoding","R0 digits; R0 encoded value","assembly decimal algorithm","digit then count","","","","","Decimal","Complete recipe"
"2026-02-03_ARM2-Q2","2026-02-03","Q2","Continuously display ADC high eight bits; KEY1 runs RLE and displays the low result byte.","ADC potentiometer KEY1 debounce LED high8 RLE","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-02-03-arm2-q2/main.c","main; ADC_IRQHandler; EINT1_IRQHandler","ADC fresh flag feeds main; debounced KEY1 triggers assembly","C ADC + IRQ","12-bit ADC; high8/low8","LED|Buttons|Debounce|ADC","EINT|ADC IRQ|Acknowledgement","","C-to-assembly","","Complete recipe|Professor interface|Exam API"
"2026-02-03_ARM3-Q1","2026-02-03","Q1","Fill up to 255 words with the Recaman sequence.","Recaman sequence uniqueness array positive subtraction","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-02-03-arm3-q1/assembly.s","Recaman","R0 area, R1 uint8 length","assembly sequence algorithm","maximum 255","","","","","Arrays|Recurrence","Complete recipe"
"2026-02-03_ARM3-Q2","2026-02-03","Q2","Use ADC high eight bits as Recaman length on KEY2, then show elements every two seconds.","ADC KEY2 debounce Timer0 2s Recaman LED","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-02-03-arm3-q2/main.c","main; answer_timer0","ADC supplies length; KEY2 builds; Timer0 displays","C ADC + timer IRQ","2000 ms; 255 words","LED|Buttons|Debounce|Timer0|ADC","EINT|Timer IRQ|ADC IRQ|Acknowledgement","Periodic|Delays","","Recurrence","Complete recipe|Professor interface|Exam API"
"2026-02-18_ARM1-Q1","2026-02-18","Q1","Fill 1000 Hofstadter Q terms iteratively and return the maximum.","Hofstadter Q sequence iterative maximum array","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-02-18-arm1-q1/assembly.s","HofstadterQ","R0 area, R1 dimension; R0 maximum","assembly sequence algorithm","1000 terms in board part","","","","","Arrays|Recurrence","Complete recipe"
"2026-02-18_ARM1-Q2","2026-02-18","Q2","Map Hofstadter Q values to note pitch and duration with three timers and stream SinTable to the DAC.","three timers audio DAC SinTable pitch duration one-shot","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-02-18-arm1-q2/main.c","answer_timer0; answer_timer1; answer_timer2","Timer0=A 50ms, Timer1=B pitch, Timer2=C duration","C timers + DAC IRQ","Pmax/Pmin 5351/1062 and 40000000/625000; k 1/5","Timer0|Timer1|Timer2|DAC|Speaker","Timer IRQ|Acknowledgement","One-shot|Delays|Multi-timer","","Recurrence","Complete recipe|Professor interface|Exam API"
"2026-02-18_ARM2-Q1","2026-02-18","Q1","Fill 1000 Hofstadter-Conway terms iteratively and return the maximum.","Hofstadter Conway sequence iterative maximum array","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-02-18-arm2-q1/assembly.s","HofstadterConway","R0 area, R1 dimension; R0 maximum","assembly sequence algorithm","1000 terms in board part","","","","","Arrays|Recurrence","Complete recipe"
"2026-02-18_ARM2-Q2","2026-02-18","Q2","Map Hofstadter-Conway values to note pitch and duration with three timers and the DAC.","three timers audio DAC SinTable pitch duration one-shot","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-02-18-arm2-q2/main.c","answer_timer0; answer_timer1; answer_timer2","Timer0=A 50ms, Timer1=B pitch, Timer2=C duration","C timers + DAC IRQ","same two threshold formulas","Timer0|Timer1|Timer2|DAC|Speaker","Timer IRQ|Acknowledgement","One-shot|Delays|Multi-timer","","Recurrence","Complete recipe|Professor interface|Exam API"
"2026-06-25_ARM1-Q1","2026-06-25","Q1","Compute bulls and cows using per-digit frequency arrays and pack the score.","Bulls and Cows frequency exact partial packed score","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-06-25-arm1-q1/assembly.s","BullsAndCows","R0 guess, R1 secret, R2 guessFrequency, R3 secretFrequency","assembly game algorithm","(2*bulls-1)<<4 plus (2*cows-1)","","","","","Arrays|Decimal|Games","Complete recipe"
"2026-06-25_ARM1-Q2","2026-06-25","Q2","Implement the full joystick Bulls-and-Cows game, preserving one timer-derived secret across guesses.","joystick game Timer0 secret debounce edges LED","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-06-25-arm1-q2/main.c","main; answer_joystick_sample","Timer0 TC creates secret; RIT polls joystick edges","C game state machine","four digits 0..3","LED|Debounce|Timer0|RIT|Joystick","","","","Decimal|Games","Complete recipe|Professor interface|Exam API"
"2026-06-25_ARM2-Q1","2026-06-25","Q1","Compute exact and partial Mastermind matches with used-position arrays and pack the score.","Mastermind exact partial used arrays packed score","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-06-25-arm2-q1/assembly.s","Mastermind","R0 guess, R1 secret, R2 usedGuess, R3 usedSecret","assembly game algorithm","(2*exact-1)<<4 plus (2*partial-1)","","","","","Arrays|Games","Complete recipe"
"2026-06-25_ARM2-Q2","2026-06-25","Q2","Implement the full joystick Mastermind game with the paper-specific direction mapping.","joystick Mastermind Timer0 secret RIT edges LED","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2026-06-25-arm2-q2/main.c","main; answer_joystick_sample","Timer0 TC creates secret; RIT polls joystick edges","C game state machine","four digits 0..3","LED|Timer0|RIT|Joystick","","","","Decimal|Games","Complete recipe|Professor interface|Exam API"
